"its","яго"
"it","ён"
"itself","сябе"
"Activity","Актыўнасць"
"Training Session","Трэніроўка"
"Activity Event","Падзея"
"Research","Даследаванне"
"Play","Гуляць"
"Worship","Ушаноўваць"
"Socialize","Сацыялізавацца"
" empty "," спусташыць "
" empties "," спусташае "
" pick up "," падняць "
" picks up "," падбірае "
"the theft","крадзеж"
" embraces "," абдымае "
" has shared many tales from beyond "," падзяліўся шматлікімі гісторыямі з - за мяжы "
" has shared a few rumors."," падзяліўся некалькімі чуткамі."
" has shared a rumor from abroad."," падзяліўся чуткамі з - за мяжы."
" gives you "," дае "
" has discovered "," выявіў "
" has become a student of "," стаў студэнтам "
", depicted as a ",", намаляваны як "
"Ponder ","Паразважаць "
"Learn ","Вучыць "
"Teach ","Навучаць "
"Discuss ","Абмеркаваць "
"Read","Чытаць"
"Write","Напісаць"
"Write about ","Напісаць аб "
"Copy","Кап."
"Meditate on ","Медытаваць "
"Pray to ","Маліцца "
"Go to Combat Training","Пайсці на баявую падрыхтоўку"
"Organize Combat Training","Арганізаваць баявую падрыхтоўку"
"Lead Combat Training","Узначаліць баявую падрыхтоўку"
"Wait for Combat Training","Чакаць на баявую падрыхтоўку"
"Play Make Believe","Гуляць у ""Чараўніка"""
"Play with ","Пагуляць з "
"Toy","Цацка"
"Inveigh Against ","Аспрэчыць "
"Promote ","Павысіць "
"Law","Закон"
"Loyalty","Адданасць"
"Family","Сям'я"
"Friendship","Сяброўства"
"Power","Улада"
"Truth","Праўда"
"Cunning","Хітрасць"
"Eloquence","Красамоўства"
"Fairness","Справядлівасць"
"Decorum","Прыстойнасць"
"Tradition","Традыцыі"
"Artwork","Мастацтва"
"Cooperation","Супрацоўніцтва"
"Independence","Незалежнасць"
"Stoicism","Стаіцызм"
"Introspection","Самааналіз"
"Self-Control","Самакантроль"
"Tranquility","Спакой"
"Harmony","Гармонія"
"Merriment","Бадзёрасць"
"Craftsmanship","Майстэрства"
"Martial Prowess","Баявое майстэрства"
"Skill","Умельства"
"Hard Work","Працавітасць"
"Sacrifice","Самаахвярнасць"
"Competition","Саперніцтва"
"Perseverance","Настойлівасць"
"Leisure Time","Няспешнасць"
"Commerce","Гандлярства"
"Romance","Рамантыка"
"Nature","Прыродалюбства"
"Peace","Пацыфізм"
"Knowledge","Веды"
"Preach on ","Прапаведаваць "
"Listen to Sermon","Слухаць Казанне"
"Tell Story","Расказаць гісторыю"
"Listen to Story","Слухаць гісторыю"
"Listen to Poetry","Слухаць вершы"
"Play ","Гуляць "
"Simulate ","Сімуляваць "
"Sing","Пець"
"Chant","Напець"
"Recite Poetry","Расказваць вершы"
"Perform Music","Музіцыраваць"
"Listen to Music","Слухаць музыку"
"Perform Dance","Танцаваць"
"Watch Dance","Глядзець танцы"
"Go to ","Перайці да "
" Demonstration"," дэманстрацыі"
"Lead ","Праводзіць "
"Organize ","Зладзіць "
"Watch ","Глядзець "
"Wait for ","Чакаць "
"Serve Customer","Абслужыць кліента"
"Serve ","Служыць "
"Go to Individual Combat Drill","Перайсці да індывідуальных баявых вучэнняў"
"Individual Combat Drill","Індывідуальныя баявыя вучэнні"
"/Resting","/Адпачынак"
"Go to Sparring Match","Перайсці да спаррынгавага матча"
"Spar","Спарынгаваць"
"Go to Sparring Practice","Перайсці да спаррынгавай трэніроўкі"
"Watch Sparring Practice","Глядзець спаррынгавую трэніроўку"
"Archery Practice","Практыкаванне стральбы з лука"
"You cannot perform here.","Вы не можаце тут выступаць."
"You could not find a partner.","Вы не змаглі знайсці партнёра."
"There are not enough dancers.","Не хапае танцораў."
"There is not enough room to perform here.","Не хапае прасторы для выступаў."
"You","Вы"
"Some children","Некаторыя дзеці"
"is"," - "
"are"," - "
"begins","пачынае"
"begin","пачынаеце"
" playing make believe."," гуляць у ""Чараўніка""."
" playing with "," гуляюць з "
"a toy","цацкай"
"The performers","Выканаўцы"
"a sermon on ","казанне аб "
"the story of ","гісторыя аб "
"reciting the poem ","расказвае вершы "
"an improvised recital of ","імправізаваны канцэрт "
"the musical composition ","музычную кампазіцыю "
"improvised music, ","імправізаваную музыку, "
"dancing ","танцаваць "
"an improvised dance, ","імправізаваны танец, "
" in the middle of "," у сярэдзіне "
"You continue the sermon.","Вы працягваеце казанне."
"The sermon continues.","Казанне працягваецца."
"You continue the story.","Вы працягваеце гісторыю."
"The story continues.","Гісторыя працягваецца."
"You begin","Вы пачынаеце"
"The poetry enters","Паэзія пераходзіць у"
"the "," "
" line."," радок."
"the verse paragraph","чатырохрадкоўе"
" verse paragraph"," чатырохрадкоўе"
"the stanza","страфу"
" stanza"," страфу"
"You continue the poem.","Вы працягваеце верш."
"The poem continues.","Верш працягваецца."
"You enter ","Вы пераходзіце ў "
"The dance enters a new section with ","Танец пераходзіць у іншую частку з "
"The music enters ","Музыка пераходзіць у "
"a simple passage","просты ўрывак"
"the introduction","увядзенне"
"the exposition","экспазіцыя"
" of the theme"," тэмы"
" of the first theme"," першай тэмы"
" of the second theme"," другой тэмы"
" of the previous passage"," папярэдняга ўрыўка"
