"General","Vçeobecn‚"
"World","SvØt"
"Adventurer","Dobrodruh"
"Dwarf mode","TrpasliŸ¡ re§im"
"Embark","Nalodit se"
"Stockorder","Skladov  objedn vka"
"Militia","Milice"
"Text entry","Zad v n¡ textu"
"its","Sv‚"
"it","To"
"itself","S m"
"will only do assigned tasks","bude plnit pouze zadan‚ £koly"
"Activity","¬innost"
"Training Session","Tr‚nink"
"Activity Event","Ud lost Ÿinnosti"
"Research","Vìzkum"
"Play","Hraj"
"Worship","Uct¡vej"
"Socialize","Socializuj"
" empty "," pr zdnì "
" empties "," vypr zdnil "
" pick up "," seber to "
" picks up "," sebral "
" embraces "," obdivuje "
"I'm feeling randy today!","Dnes se c¡t¡m dobýe!"
" has shared many tales from beyond "," se podØlil o mnoho pý¡bØh… ze z hrob¡ "
" has shared a few rumors."," se podØlil o p r drb…"
" has shared a rumor from abroad."," se podØlil o drb ze zahraniŸ¡"
" gives you "," d v  ti "
"repeatedly snaps ","opakovanØ zaklapne "
"a setting worthy of legends","prostýed¡ hodn‚ legend"
" has discovered "," objevil "
"discourse on ethics as it regards the benefit of the state","diskuze o etice,pokud jde o dobro st tu"
"discourse on the meaning of individual happiness","diskuze o vìznamu individu ln¡ho çtØst¡"
"discourse on medical ethics","diskuze o l‚kaýsk‚ etice"
"discourse on the nature of truth","diskuze o povaze pravdy"
"discourse on the nature of justification","diskuze o povaze ospravedlnØn¡"
"discourse on the nature of perception","dskuze o povaze vn¡m n¡"
"discourse on the nature of belief","dskuze o povaze v¡ry"
"discourse on the relationship between wholes and parts","diskuze o vztahu mezi celky a Ÿ stmi"
"discourse on the relationship between objects and their properties","dskuze o vztahu mezi pýedmØty a jejich vlastnostmi"
"discourse on the nature of mind and body","dskuze o povaze mysli a tØla"
"discourse on the nature of time","diskuze o povaze Ÿasu"
"discourse on the nature of existence","dskuze o povaze existence"
"discourse on the nature of events","diskuze o povaze ud lost¡"
"discourse on ethics as applied to war","diskuze o etice aplikovan‚ na v lku"
"discourse on the nature of causation","diskuze o povaze pý¡Ÿinn‚ souvislosti"
"discourse on the nature of processes","diskuze o povaze proces…"
"discourse on ethics as applied to interpersonal conduct","diskuze o etice aplikovan‚ na mezilidsk‚ vztahy"
"discourse on education","diskuze o vzdØl n¡"
"discourse on law","dskuze o pr vu"
"discourse on grammar","diskuze o gramatice"
"discourse on social welfare","diskuze o socialn¡m blahobytu"
"discourse on economic policy","diskuze o hospod ýsk‚ politice"
"discourse on government","diskuze o vl dØ"
"discourse on diplomacy","diskuze o diplomacii"
"the notion of etymology","pojem etymologie"
"discourse on the value of art","diskuze o hodnotØ umØn¡"
"discourse on the nature of beauty","diskuze o pý¡rodn¡ kr se"
"the notion of conflict between members of a community","pýedstava konfliktu mezi Ÿleny komunity"
"the notion of bonds between members of a community","vazby mezi Ÿleny komunity"
"the notion of historical, governmental and social cycles","n zor na historii vl dy a socialn¡ cykly"
"discourse on the causes of historical events","diskuze o pý¡rodn¡ch historickìch ud lost¡"
"the idea of source reliability","myçlenka o p…vodu zdroje"
