"its","øia"
"it","øi"
"itself","sin"
"dry","seka"
"Activity","Aktiva¼oj"
"Training Session","Ekzerca Sesio"
"Activity Event","Aktiva¼o"
"Research","Esplori"
"Play","Ludi"
"Worship","Kulti"
"Socialize","Sociumi"
" empty "," malplenigas "
" empties "," malpleniøas "
" pick up "," prenas "
" picks up "," prenas "
" embraces "," æirkaýprenas "
" has shared many tales from beyond "," aldonis multajn rakontojn el trans "
" has shared a few rumors."," aldonis kelkajn famojn."
" has shared a rumor from abroad."," aldonis famon el ekstero."
" gives you "," donas al vi "
"Injured.","Vundita"
" has discovered "," eltrovis "
"terror from the evil depths","teruro el la pekaj abismoj"
" has become a student of "," iøis studento de "
", depicted as a ",", figurita kiel "
"You'll have to talk to somebody older.","Vi devos paroli kun iu pli aøa."
"Ponder ","Pripensi "
"Learn ","Lerni "
"Teach ","Instrui "
"Discuss ","Diskuti "
"Read","Legi"
"Write","Skribi "
"Write about ","Skribi pri "
"Copy","Kopii"
"Meditate on ","Mediti pri "
"Pray to ","Preøi al "
"Go to Combat Training","Iri je Ekzercado Batala"
"Organize Combat Training","Organizi Ekzercadon Batalan"
"Lead Combat Training","Konduki Ekzercadon Batalan"
"Wait for Combat Training","Atendi Ekzercadon Batalan"
"Play Make Believe","Ludi Imagante"
"Play with ","Ludi per "
"Toy","Ludilo"
"Inveigh Against ","Kontraýstaras kontraý "
"Promote ","Promocii "
"Law","Leøo"
"Loyalty","Fideco"
"Family","Familio"
"Friendship","Amikeco"
"Power","Potenco"
"Truth","Vero"
"Cunning","Malico"
"Eloquence","Elokventeco"
"Fairness","Justeco"
"Decorum","Deco"
"Tradition","Tradicio"
"Artwork","Belarto"
"Cooperation","Kunlaboro"
"Independence","Sendependeco"
"Stoicism","Stoikeco"
"Introspection","Introspekto"
"Self-Control","Memregado"
"Tranquility","Trankvileco"
"Harmony","Harmonio"
"Merriment","Gajeco"
"Craftsmanship","Metio"
"Martial Prowess","Milita Lerteco"
"Skill","Lerteco"
"Hard Work","Pena Laboro"
"Sacrifice","Oferado"
"Competition","Konkurado"
"Perseverance","Persistemo"
"Leisure Time","Libertempo"
"Commerce","Komerco"
"Romance","Enamiøo"
"Nature","Naturo"
"Peace","Paco"
"Knowledge","Scio"
"Preach on ","Prediki pri "
"Listen to Sermon","Aýskulti Predikon"
"Tell Story","Rakonti Fabelon"
"Listen to Story","Aýskulti Fabelon"
"Listen to Poetry","Aýskulti Poezia¼on"
"Play ","Ludi "
"Simulate ","Simuli "
"Sing","Kanti"
"Chant","Æanti"
"Recite Poetry","Deklami Poezia¼on"
"Perform Music","Interpreti Muzikon"
"Listen to Music","Aýskulti Muzikon"
"Perform Dance","Prezenti Dancon"
"Watch Dance","Spekti Dancon"
"Go to ","Iri al "
" Demonstration"," Demonstrado"
"Lead ","Konduki "
"Organize ","Organizi "
"Watch ","Rigardi "
"Wait for ","Atendi "
"Serve Customer","Servi Klienton"
"Serve ","Servi "
"Go to Individual Combat Drill","Iri al Individua Batala Simulado"
"Individual Combat Drill","Individua Batala Simulado"
"/Resting","/Ripozanta"
"Go to Sparring Match","Iri al Ekzerclukta Partio"
"Spar","Ekzerclukti"
"Go to Sparring Practice","Iri al Ekzerclukto"
"Watch Sparring Practice","Spekti Ekzerclukton"
"Archery Practice","Pafa Ekzercado"
"You cannot perform here.","Vi ne povas interpreti tie æi."
"You could not find a partner.","Vi ne povis trovi kunulon."
"There are not enough dancers.","Ne ekzistas sufiæaj dancistoj."
"There is not enough room to perform here.","Æi tie ne estas sufiæa spaco por interpretado."
"Desired Evil Square Count in Large Subregions","Kalkulo de Dezirataj Malbon. Æ. en Gr. Subregionoj"
"You","Vi"
"Some children","Iuj infanoj"
"is","estas"
"are","estas"
"begins","komenciøas"
"begin","komenciøas"
" playing make believe."," ludi imagante."
" playing with "," ludi per "
"a toy","ludilo"
"The performers","La interpretistoj"
"a sermon on ","prediko pri "
"the story of ","la fabelo de "
"reciting the poem ","deklamante la poemon "
"an improvised recital of ","improvizata deklamado de "
"the musical composition ","la kompona¼o "
"improvised music, ","improvizata muziko, "
"dancing ","dancante "
"an improvised dance, ","improvizia danco, "
" in the middle of "," meze de "
"You continue the sermon.","Vi daýras la predikon."
"The sermon continues.","La prediko daýras."
"You continue the story.","Vi daýras la fabelon."
"The story continues.","La fabelon daýras."
"You begin","Vi komencas"
"The poetry enters","La poezia¼o komencas"
"the ","la "
" line."," linion."
"the verse paragraph","la versa alineo"
" verse paragraph"," versa alineo"
"the stanza","la stanco"
" stanza"," stanco"
"You continue the poem.","Vi daýrigas la poemon."
"The poem continues.","La poemo daýras."
"You enter ","Vi eniras "
"The dance enters a new section with ","La danco komencas novan sekcion kun "
"The music enters ","La muziko komencas "
"a simple passage","simpla frazaro"
"the introduction","la enkonduko"
"the exposition","la ekspozicio"
" of the theme"," de la temo"
" of the first theme"," de la unua temo"
" of the second theme"," de la dua temo"
" of the previous passage"," de la antaýa frazaro"
"a recapitulation","resumo"
"the synthesis","la sintezo"
" of the two themes"," de la du temoj"
" of previous passages"," de antaýa frazaroj"
"a verse","versa¼o"
"a chorus","¶oro"
"the finale","la finalo"
"the coda","la kodao"
"a bridge-passage","ponto-pasejo"
"first ","unua "
"second ","dua "
"theme","temo"
"a series of variations","serio de variadoj"
" on the theme"," sur la temo"
" on the first theme"," sur la unua temo"
" on the second theme"," sur la dua temo"
" and "," kaj "
"You continue the dance.","Vi daýras la danco."
"The dance continues.","La danco daýras."
"You continue the music.","Vi daýrigas la muzikon."
"The music continues.","La muziko daýras."
"You conclude your performance.","Vi finas vian prezentadon."
"The performers are finished.","La interpretistoj finis."
"Some performers finish their act.","Iuj interpretistoj finas siajn aktojn."
" has finished performing."," finis interpreti."
" concludes a performance."," finas prezentadon."
"I am so happy.","Mi estas tiel feliæa."
"You've learned ","Vi lernis "
"You feel like you know the basic rules of ","Vi sentas ke vi scias la bazajn regulojn de "
" now."," nun."
"Your","Via"
"'s","a"
" lay"," metas"
" forth an awe-inspiring sermon for the ages!"," antaýen admirinda prediko por la aøoj!"
" artfully deliver"," arte alportas"
" a lucid and powerful sermon."," lucidan kaj fortan predikon."
" giving a creditable sermon."," donas laýdintan predikon."
" just can't give a sermon very well."," nur ne povas doni predikon tre bone."
" dance"," dancas"
" flawlessly, like someone out of a legend!"," perfekte, tiel iu el legendo!"
" dancing exceptionally."," dancante escepte."
" dancing well."," dancante bone."
" get"," akiras"
" tangled up."," enmiksiøa."
" and the "," kaj la "
" are indistinguishable!"," estas nedistingeblaj!"
"instrument","instrumento"
" delivering a virtuoso performance on the "," ludante talentan prezentadon en la "
" is absolutely flawless."," estas tute perfekta."
"chant","æanto"
"song","kanto"
" could nearly pass for the voice of the "," povus preskaý pasi por la voæo de la "
" play"," ludas"
" the "," la "
" with skill."," lerte."
"sing","kanto"
" beautifully."," bele."
" sound"," sono"
" vaguely like the intended "," pigre kiel la celita "
" playing the "," ludante la "
" well."," bone."
"chanting","æantante"
"singing","kantanta"
" make"," fari"
" a mockery of the "," mokado de la "
" with a shameworthy performance."," per hontinda prezentado."
"doesn't","ne"
"don't","ne"
" seem to know how to play the "," þajnas scii kiel ludi la "
" sloppily"," mallerte"
" and even forget"," kaj eæ forgesas"
" some of the words."," iom da la vortoj"
" bring"," alportas"
" the poem to life with this flawless recitation."," la poemon al la vivo per æi-deklamado sendifekta."
" choose"," elektas"
" the perfect phrasing."," la perfektan frasadon."
" recite"," deklamas"
" the words evocatively."," la vortojn elvokive."
" enunciate"," enuncas"
" crisply."," krispe."
" speak"," parolas"
" mumble"," murmuras"
", having completely forgotten the words.",", tute forgesinte la vortojn."
" poorly."," malbone."
" weave"," teksas"
" a mesmerizing tale!"," okulfrapa fabelo!"
" tell"," rakontas"
" the story in vivid detail."," la rakonton en vigla detalo."
" telling the tale quite well."," rakontante la fabelon sufiæe bone."
" stumble"," falas"
" over the details."," super la detaloj."
"It has no writing.","Øi ne havas skribon."
"The pages are blank.","La paøoj estas malplenaj."
"It has no pages.","Øi ne havas paøojn."
"Alias: ","Kromnomo: "
"Highest known in organization","Plej alta konata en organiza¼o"
"Associated Organization: ","Asociata Organiza¼o: "
"Associated Plot: ","Asociata Komploto: "
"We should have made it there by now.","Ni devus alveninta tie nun."
"We should be making better progress.","Ni devus esti pli bone progresanta."
"We are going the wrong way.","Ni iras la maløusta vojo."
