"World","Mundo"
"Adventurer","Aventurero"
"Dwarf mode","Modo Enano"
"Embark","Embarcarse"
"Stockorder","Orden de Almacenamiento"
"Militia","Milicia"
"Text entry","Entrada de texto"
"its","su"
"it","eso"
"itself","sí mismo"
"will only do assigned tasks","sólo hará tareas asignadas"
"Activity","Actividad"
"Training Session","Sesión de entrenamiento"
"Activity Event","Evento de Actividad"
"Research","Investigar"
"Play","Jugar"
"Worship","Adorar"
"Socialize","Socializar"
" empty "," vacío "
"repeatedly snaps ","chasquea repetidamente "
"discourse on ethics as it regards the benefit of the state","discurso de la ética en lo que respecta al beneficio del estado"
"discourse on the meaning of individual happiness","discurso del significado de la felicidad individual "
"discourse on medical ethics","discurso de ética medica "
"discourse on the nature of truth","discurso de la naturaleza de la verdad "
"discourse on the nature of justification","discurso de la naturaleza de la justificación "
"discourse on the nature of perception","discurso de la naturaleza de la percepción "
"discourse on the nature of belief","discurso de la naturaleza de la creencia"
"discourse on the relationship between wholes and parts","discurso de la relación entre totalidades y partes"
"discourse on the relationship between objects and their properties","discurso de la relación entre objetos y sus propiedades "
"discourse on the nature of mind and body","discurso de la naturaleza de la mente y el cuerpo "
"discourse on the nature of time","discurso de la naturaleza del tiempo "
"discourse on the nature of existence","discurso de la naturaleza de la existencia "
"discourse on the nature of events","discurso de la naturaleza de los eventos"
"discourse on ethics as applied to war","discurso de la ética aplicada a la guerra"
"discourse on the nature of causation","discurso de la naturaleza de la causalidad"
"discourse on the nature of processes","discurso de la naturaleza de los procesos"
"discourse on ethics as applied to interpersonal conduct","discurso de la ética aplicada a la conducta interpersonal"
"discourse on education","discurso de educación"
"discourse on law","discurso de la ley"
"discourse on grammar","discurso de gramática"
"discourse on social welfare","discurso del bienestar social"
"discourse on economic policy","discurso de política económica"
"discourse on government","discurso del gobierno"
"discourse on diplomacy","discurso de diplomacia"
"the notion of etymology","la noción de etimología"
"discourse on the value of art","discurso del valor del arte"
"discourse on the nature of beauty","discurso de la naturaleza de la belleza"
"the idea of using symbolic notation for addition","la idea de usar notación simbólica para la suma"
"the notion of conflict between members of a community","la noción de un conflicto entre miembros de una comunidad"
"the notion of bonds between members of a community","La noción de los vínculos entre miembros de una comunidad"
"the notion of historical, governmental and social cycles","la noción de ciclos históricos, gubernamentales y sociales"
"discourse on the causes of historical events","discurso de las causas de eventos históricos"
"the idea of source reliability","la idea de una fuente fiable"
"swayable","balanceable"
"noted intruder","intruso renombrado"
" (Tame)"," (Domado)"
"with ","con "
"Create","Crear"
"Equipment","Equipamiento"
"Make sure your parameters and presets allow as many border mountain squares as you are requiring mountain caves.  ","Asegúrate de que sus parámetros y ajustes preestablecidos permitan la mayor cantidad de plazas de montaña fronteriza, ya que requieren cuevas de montaña. "
"Scorching","Abrasador"
"is not the type to fall in love or even develop positive feelings","no es el tipo de enamorarse o incluso desarrollar sentimientos positivos"
"sometimes have reversed word orders","a veces han invertido el orden de las palabras"
"a great sense of empathy","un gran sentido de la empatía"
"A section of the cavern has collapsed!","¡Se ha colapsado una sección de la caverna!"
"One of the compressed files on disk has errors in it.  Restore from backup if you are able.","Uno de los archivos comprimidos en el disco tiene errores en él. Restaure desde la copia de seguridad si es capaz."
"an astonishing memory","una memoria asombrosa"
"laughs in a unique way when ","ríe de una forma única cuando "
" skipped: identifier cannot start with 'vanilla'."," omitido: el identificador no puede comenzar con 'vainilla'."
"he","él"
"she","ella"
"engineering:machine:chariot odometer","ingeniería:máquina:carro odómetro"
" Upward Track (SEW)"," Vía de Ascenso (SEO)"
"his","su"
"her","su"
", and established a gateway between worlds",", y abrió una puerta entre los mundos"
"Dabu & Simon Swerwer","Dabu y Simon Swerwer"
"Expansive Cavern","Caverna expansiva"
"Death Spiral","Espiral de la muerte"
"Hill Dwarf","Enano de la colina"
"Forgotten Beast","Bestia olvidada"
"Drink & Industry","Bebida e industria"
"Vile Force of Darkness","Fuerza Vil de la Oscuridad"
"First Year","Primer año"
"Another Year","Otro año"
"Strike the Earth!","¡Golpea la Tierra!"
"Strange Moods","Estados de ánimo extraños"
"Winter Entombs You","El invierno te sepulta"
"Craftsdwarfship","Artenanisanía"
"Dabu & Agueda Macias","Dabu y Agueda Macias"
"The Tavern Part I","La Taberna Parte I"
"The Tavern Part II","La Taberna Parte II"
"Toady One","Lameculos Uno"
"Toady Two","Lameculos Dos"
"Toady Three","Lameculos Tres"
"Suite Espagnole Part I","Suite Española Parte I"
"became parent","se convirtió en padre"
" was seen being stolen!"," ¡fue visto robando!"
"thought of as two disjoint chords spanning a tritone and a perfect fourth","considerado como dos acordes separados abarcando un tritono y una cuarta perfecta"
"blowgunner","cerbatenero"
"Average Seconds Between Tracks/Interludes: ","Ajustar Segundos Entre Pistas/Interludios: "
"Maximum interface percentage (not counting minimap/elevation)","Porcentaje Máximo de Interfaz (excluye minimapa/elevación )"
"Use Classic ASCII glyphs","Activar Modo ASCII Clásico"
"NO BINDING","SIN UNION"
"added a masterful image","añadida una imagen magestral"
" was stolen"," fue robado"
"The item constantly emits a nearly inaudible high-pitched whistle.","El objeto constantemente emite un casi inaudible silbido atiplado."
"the discovery of ","el descubrimiento de "
" was found"," fue encontrado"
" was looted"," fue saqueado"
" was confiscated"," fue confiscado"
" from"," desde"
"the original ","el original "
"the disappearance of ","la desaparición de "
" was lost"," se perdió"
"gambling of ","apuestas de "
"Opulent Throne Room","Salón del trono Opulento"
"the acquisition of a copy of ","la adquisición de una copia de "
", keeping it within ",", conservándolo en "
"a concert","un concierto"
"a poetry recital","un recital poetico "
"a recital of ","un recital de "
"On the faces of the object are ","En las caras del objeto hay "
"Grains of Sand","Granos de Arena"
"x is a beat","x es un pulso"
"thought of as two disjoint chords spanning two perfect fourths","considerado como dos acordes separados abarcando dos cuartas perfectas"
"Move keyboard cursor down and left","Mover el cursor del teclado hacia abajo y hacia la izquierda"
"The world generator is having trouble placing enough mountain peaks.  ","El generador del mundo está teniendo problemas situando demasiados picos montañosos. "
"does the counterpoint melody","hace la melodía de contrapunto"
"it is impossible to hold a grudge near it","Es imposible guardar un rencor cerca de él."
"it has a distinctly depressing moan","tiene un gemido depresivo distintivo"
"it giggles at random","risotea aleatoriamente"
"flashes of energy pulse across its surface intermittently","destellos de energía pulsan a través de la superficie intermitentemente"
"it moves ponderously","se mueve pesadamente"
"it appears very deliberate in its actions","aparece muy deliberado en sus acciones"
"it seems eager to pronounce judgment on others","parece impaciente de pronunciar juicio en otros"
"history:theory:historical causation","historia:teoría:causalidad histórica"
"the preparation of oil of vitriol","la preparación de aceite de vitriolo"
"the Monument","el Monumento"
" as a poetic form"," como una forma poética"
"the Chords","las Cuerdas"
"ethics and the state","ética y el estado"
" starts talking to inanimate objects"," empieza a hablar a objetos inanimados"
"the Inscribed Triangle","el Triángulo Inscrito"
"the water wheel","la rueda hidráulica"
" are unable to break"," es incapaz de romper"
"You have discovered a downward passage.","Has descubierto un pasaje subterraneo."
"You have discovered a cave entrance.","Has descubierto la entrada a una cueva."
" has engraved a masterpiece!"," ha grabado una obra maestra!"
"finds nature somewhat disturbing","encuentra la naturaleza algo perturbadora"
"mountain","montaña"
"a syllable weight pattern of ","un patrón de peso de sílaba de "
"medical ethics","ética médica"
"[ATTACK:BLUNT:10:200:bash:bashes:NO_SUB:2000]","[ATTACK:BLUNT:10:200:golpetazo:golpetazos:NO_SUB:2000]"
"actively avoids exciting or stressful situations","evita activamente situaciones excitantes o estresantes"
"doesn't feel strongly about the law","no le apasiona la ley"
"Civilians:","Civiles:"
"Soldiers:","Soldados:"
" has come!"," ha llegado!"
"the Moon and Tides","la Luna y las Mareas"
"is consumed by overpowering feelings of jealousy","se consume al dominar los sentimientos de celos"
"Wrestling Competition","Competición de Pelea"
"finds the whole idea of friendship disgusting","encuentra desagradable la idea de una amistad"
"Training","Entrenando"
"the method of forming precise models for the paths of astronomical objects","el método de formación de modelos precisos para las trayectorias de objetos astronómicos"
"There were ","hay habían "
"teeth","dientes"
" (cannot individually drill)"," (No se puede entrenar individualmente)"
"the loss of heroic status of","la pérdida del estatus heroico de"
" to beasts"," a las bestias"
"a rescue mission","una misión de rescate"
"died of thirst.","murio de sed."
"medicine:method:physical examination","medicina: método: examen físico"
"had a gated courtyard added to","se le agregó un patio cerrado"
" punishment delayed"," castigo retrasado"
"the divergence of the harmonic series","La divergencia de la serie armónica."
"the Performance","la Actuación"
"eyes glow","ojos se iluminan"
"casual ","casual "
"Overall, the prose is passable","En general, la prosa es pasable"
"Overall, the prose is masterful","En general, la prosa es magistral"
" bag, itself supplied by a "," bolsa, en sí misma suministrada por una "
" yoke and a "," yugo y un "
"was striken by melancholy","sufrió un ataque de melancolía"
"the hammer","el martillo"
"The ingredients are ","Los ingredientes son "
"Experiencing emotional shock","Experimentando un shock emocional"
"entity","entidad"
"Item submission failed: not logged on.","Error al enviar el artículo: no se ha iniciado sesión."
"that all should gaze upon a truly gruesome visage","que todos deben contemplar un rostro verdaderamente espantoso"
"Creating ","Creando "
"him","él"
"Fine Tomb","Fina Tumba"
"naturalist:observation:embriological development","naturalista: observación: desarrollo embriológico."
"path not closed, attempting fix","camino no cerrado, intentando arreglar"
" Little"," Poco"
" struck down "," derribado "
" head"," cabeza"
"Others refused to journey to this dangerous fortress.","Otros se negaron a viajar a esta peligrosa fortaleza."
"the deity","la deidad"
"tunnel","túnel"
"be made sweetly","hacerse dulcemente"
"Bookbinder","Encuadernador"
"Potter","Alfarero"
"Wax Worker","Trabajador de Cera"
"Metal Crafter","Artesano de Metal"
"Glassmaker","Fabricante de Cristal"
"Student","Estudiante"
"Observer","Observador"
"Wordsmith","Dialogante"
"Writer","Escritor"
"Poet","Poeta"
"Reader","Lector"
"Speaker","Lancero"
"Knapper","Secuestrador"
"Dancer","Bailarín"
"Musician","Músico"
"Singer","Cantante"
"Keyboardist","Pianista"
"Stringed Instrumentalist","Músico de Cuerda"
"Wind Instrumentalist","Músico de Viento"
"Bone Carver","Tallador de hueso"
"Weaver","Tejedor"
"Brewer","Cervecero"
"Miller","Molinero"
"Thresher","thresher"
"Blowgunner","Cerbatanero"
"Thrower","Lanzador"
"Druid","Druida"
"Knife User","Hombre con cuchillo"
"Lasher","Azotador"
"Cook","cocinar"
"Cheesemaker","Quesero"
"Milker","lechero"
"Shearer","Esquilador"
"Spinner","Hilador"
"Misc. Object User","Usuario de objeto miscelaneo"
"Wound Dresser","Curador de heridas"
"Suturer","Suturador"
"Crutch-walker","Caminando con Muletas"
"Climber","escalador"
"Schemer","Intrigante"
"Skill 1","Habilidad 1"
"Skill 2","Habilidad 2"
"Skill 3","Habilidad 3"
"Skill 4","Habilidad 4"
"Skill 5","Habilidad 5"
"Skill 6","Habilidad 6"
"Skill 7","Habilidad 7"
"Skill 8","Habilidad 8"
"Skill 9","Habilidad 9"
"Skill 10","Habilidad 10"
"ill-sized art actions (1): ","acciones artísticas de mal tamaño (1) "
"ill-sized art actions (2): ","acciones artísticas de mal tamaño (2): "
"ill-sized art actions (3): ","acciones artísticas de mal tamaño (3): "
"ill-sized art actions (4): ","acciones artísticas de mal tamaño (4): "
"ill-sized art actions (5): ","acciones artísticas de mal tamaño (5) "
