"General","Загальне"
"World","Світ"
"Adventurer","Пригода"
"Dwarf mode","Режим фортеці"
"Embark","Розпочати"
"Stockorder","Склади"
"Militia","Ополчення"
"its","його"
"it","він"
"itself","себе"
"Activity","Активність"
"Training Session","Тренування"
"Activity Event","Подія"
"Research","Досліджувати"
"Play","Грати"
"Worship","Поклонятися"
"Socialize","Спілкуватися"
" empty "," порожній "
" empties "," спорожняє "
" pick up "," підбираєте "
" picks up "," підбирає "
" embraces "," обіймає "
" has shared many tales from beyond "," поділився багатьма оповіданнями з-за меж "
" has shared a few rumors."," поділився кількома чутками"
" has shared a rumor from abroad."," поділився слухом з-за кордону."
" gives you "," дає вам "
" has discovered "," відкрив "
" has become a student of "," став учнем "
"Ponder ","Замислитися "
"Learn ","Вивчати "
"Teach ","Вчити "
"Discuss ","Обговорювати "
"Read","Читати"
"Write","Писати"
"Write about ","Писати про "
"Copy","Копіювати"
"Meditate on ","Роздумувати над "
"Pray to ","Молитися до "
"Go to Combat Training","Піти на тренування"
"Organize Combat Training","Організувати тренування з бою"
"Lead Combat Training","Вести тренування з бою"
"Wait for Combat Training","Чекати на тренування"
"Play Make Believe","Удавати гру"
"Play with ","Грати з "
"Toy","Гратися"
"Inveigh Against ","Ополчитися проти "
"Promote ","Просунути "
"Law","Закон"
"Loyalty","Лояльність"
"Family","Сім'я"
"Friendship","Дружба"
"Power","Сила"
"Truth","Істина"
"Cunning","Хитрість"
"Eloquence","Красномовство"
"Fairness","Справедливість"
"Decorum","Прикраса"
"Tradition","Традиція"
"Artwork","Мистецтво"
"Cooperation","Співробітництво"
"Independence","Незалежність"
"Stoicism","Стоїцизм"
"Introspection","Самоспостереження"
"Self-Control","Самоконтроль"
"Tranquility","Спокій"
"Harmony","Гармонія"
"Merriment","Веселощі"
"Craftsmanship","Майстерність"
"Martial Prowess","Бойова майстерність"
"Skill","Майстерність"
"Hard Work","Тяжка робота"
"Sacrifice","Жертва"
"Competition","Змагання"
"Perseverance","завзятість"
"Leisure Time","Вільний час"
"Commerce","Комерція"
"Romance","Романтика"
"Nature","Природа"
"Peace","Мир"
"Knowledge","Знання"
"Preach on ","Вести проповідь "
"Listen to Sermon","Слухати проповідь"
"Tell Story","Розповідати історію"
"Listen to Story","Слухати історію"
"Listen to Poetry","Слухати вірші"
"Play ","Грати "
"Simulate ","Імітувати "
"Sing","Співати"
"Chant","Наспівувати"
"Recite Poetry","Декламувати вірші"
"Perform Music","Грати музику"
"Listen to Music","Слухати музику"
"Perform Dance","Виконувати танець"
"Watch Dance","Дивитися танець"
"Go to ","Перейти до "
" Demonstration"," Огляди"
"Lead ","Вести "
"Organize ","Організувати "
"Watch ","Дивитися "
"Wait for ","Очікувати "
"Serve Customer","Обслуговувати замовника"
"Serve ","Служити "
"Go to Individual Combat Drill","Зайнятись особистим бойовим тренуванням"
"Individual Combat Drill","Особисте тренування"
"/Resting","/Відпочинок"
"Go to Sparring Match","Зайнятись спарингом"
"Spar","Спаринг"
"Go to Sparring Practice","Зайнятись спарингом"
"Watch Sparring Practice","Спостерігати спаринг"
"Archery Practice","Тренування зі стрільби"
"You cannot perform here.","Ви не можете тут виступати. "
"You could not find a partner.","Вам не вдалося знайти партнера."
"There are not enough dancers.","Не вистачає танцівників."
"There is not enough room to perform here.","Не вистачає місця для виступу."
"You","Ви"
"Some children","Деякі діти"
"is","є"
"are","є"
"begins","почати"
"begin","початок"
" playing make believe."," удає гру."
" playing with "," грає з "
"a toy","іграшка"
"The performers","Виконавці"
"a sermon on ","проповідь про "
"the story of ","історія про "
"reciting the poem ","читати вірші "
"an improvised recital of ","імпровізований концерт "
"the musical composition ","музичний твір "
"improvised music, ","музична імпровізація, "
"dancing ","танці "
"an improvised dance, ","імпровізовані танці, "
" in the middle of "," посередині "
"You continue the sermon.","Ви продовжуєте проповідь."
"The sermon continues.","Проповідь продовжується."
"You continue the story.","Ви продовжуєте історію."
"The story continues.","Історія продовжується."
"You begin","Ви починаєте"
"The poetry enters","Вірш переходить у"
" line."," лінію."
"the verse paragraph","чотиривірш"
" verse paragraph"," чотиривірш"
"the stanza","строфу"
" stanza"," строфу"
"You continue the poem.","Ви продовжуєте читати вірш."
"The poem continues.","Вірш продовжується."
"You enter ","Ви починаєте "
"The dance enters a new section with ","Танок переходить до наступної частини: це - "
"The music enters ","Грає "
"a simple passage","простий пасаж"
"the introduction","вступ"
"the exposition","експозиція"
" of the theme"," теми"
" of the first theme"," першої теми"
" of the second theme"," другої теми"
" of the previous passage"," попереднього пасажу"
"a recapitulation","реприза"
"the synthesis","синтез"
" of the two themes"," двох тем"
" of previous passages"," попередніх  пасажів"
"a verse","куплет"
"a chorus","приспів"
"the finale","закінчення"
"the coda","кода"
"a bridge-passage","перехідний пасаж"
"first ","перший "
"second ","другий "
"theme","тема"
"a series of variations","варіації"
" on the theme"," теми"
" on the first theme"," першої теми"
" on the second theme"," другої теми"
" and "," і "
"You continue the dance.","Ви продовжуєте танець."
"The dance continues.","Танець продовжується."
"You continue the music.","Ви продовжуєте грати."
"The music continues.","Музика продовжується."
"You conclude your performance.","Ви завершуєте виступ."
"The performers are finished.","Виконавці закінчують виступ."
"Some performers finish their act.","Деякі виконавці завершили свої партії."
" has finished performing."," завершив виступ."
" concludes a performance."," завершує виступ."
"You've learned ","Ви вивчили "
"overlords","володарі"
"You feel like you know the basic rules of ","Ви відчуваєте, що дізнались нові правила "
" now."," тепер."
"Your","Ваш"
" lay"," лежати"
" forth an awe-inspiring sermon for the ages!"," проповідь, що вселяє благоговіння!"
" artfully deliver"," майстерно донести"
" giving a creditable sermon."," виголошуючи достойну проповідь."
" dance"," танець"
" flawlessly, like someone out of a legend!"," бездоганно, як справжня легенда!"
