"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Quick to despair","Роспачны"
"Early evening","Раннi вечар"
"devouring ","пажырае "
"Open tree-felling mode","Адкрыйце ""Валка лесу"""
"Need soil at location","Патрэбна глеба"
"Bookcases: ","Кнiжныя шафы: "
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Пачнiце маляваць новую зону. Пасля выбару клетак, вы зможаце ўсталяваць дэталi гэтай зоны."
"novel","раман"
", but it passes right through!",", але праходзiць наскрозь!"
"It is an example of ","Гэта прыклад "
"Certainly considered a bully","Безумоўна, лiчыцца хулiганам"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Рыхтуйцеся весцi сваiх адважных падапечных да росквiту, у гэтым багатым на небяспеку свеце. "
"I was yelled at by an unhappy citizen.","Мяне аблаяў няшчасны грамадзянiн."
"You begin","Вы пачынаеце"
"thrilled","усхваляваны"
"Furniture/siege ammo","Мэбля/асадныя боепрыпасы"
"Requests (Imports from ","Запыты (iмпарт з "
" terrified"," напалоханым"
" promised "," паабяцаў "
"Surgeon","Хiрург"
"feeling apathetic","пачуццё апатыi"
"is weak and extremely short","слабы ды вельмi кароткi"
"Welcome to Dwarf Fortress","Вiтаем у Dwarf Fortress!"
" has brought back many tales from beyond "," прынес шмат гiсторый з - за мяжы "
"Mechanic","Механiк"
"often feels lustful","часта адчувае пажадлiвасць"
"Embark","Размясцiцца"
"Uninterested in an owner","Незацiкаўлены ў гаспадару"
"a year ago","год таму"
"Dictionary","Слоўнiк"
"Preparing for the caravan","Падрыхтоўка да каравану"
"Child is nobility","Дзiця - шляхта"
"denting","пракусваючы"
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Вашы подзвiгi будуць запiсаны ў Легенды майстрамi гравёрамi у наступных крэпасцях у вашым свеце."
"Feared as a villain","Выклiкае страх як злыдзень"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Выбраць цi можа склад прымаць рэчы адусюль цi толькi з пэўных майстэрняў i складаў."
" and it is mostly cut away from the rest of the torso!"," i амаль адсечана ад цела!"
"rages","лютуе"
"Announcements","Аб'явы"
"meeting area zones, dining rooms and","зон сустрэч, сталовых i"
" became "," стаў "
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Для выкарыстання некаторых функцый, такiх як працоўныя замовы або бухгалтэрыя, неабходна прызначыць [C:5:0:0]Адмiнiстратараў[C:7:0:0]. "
"Mid-","Сярэдзiна "
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Калi вы дажывеце да прыходу каравана, вы можаце набыць [C:6:0:1]Напоi[C:7:0:0] "
"Masterwork","Шэдэўр"
"amused","агаломшаны"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Няшчасныя жыхары могуць быць нагодай праблем, i нешматлiкiя людзi рызыкнуць вандраваць у "
"Water wheels are 1x3 or 3x1.","Вадзяныя колы бываюць 1х3 або 3х1."
"Machines/fluids","Машыны/вадкасцi"
"More likely, your dwarves will starve, unless you read the first few guides here! ","Хутчэй за ўсё, вашыя дворфы будуць галадаць, калi толькi вы не прачытаеце некалькi першых падручнiкаў тут! "
"Comrade","Таварыш"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Зоны[C:7:0:0] размяшчаюцца падобна да [C:6:0:0]Складаў[C:7:0:0]. "
"Mandate period (more = fewer)","Перыяд паўнамоцтваў (больш = менш)"
"Cirrus","Перыстыя"
"Resourcefulness","Кемлiвасцi"
"ladies","лэдзi"
"grieved","засмучаны"
"Traits","Рысы"
" to live a life of adventure"," каб пражыць жыццё прыгод"
"the notion of bonds between members of a community","разуменне сувязi памiж удзельнiкамi супольнасцi"
"You conclude your performance.","Вы завяршаеце выступ."
"brawler","задзiра"
", replacing ",", замянiўшы "
"We are besieged by a terrifying monster from the harshest wilderness.","Нас асаджае жахлiвы монстр з суровай дзiкай прыроды."
"No members","Няма сяброў з'яднання"
"disillusioned","расчараваны"
"Disdains commerce","Зневажае гандлярства"
"st","ае"
" and the "," i "
"things...  certain things","рэчы... пэўныя рэчы"
"Stone/clay","Камень/глiна"
"Date: ","Дата: "
"""Leave me.  I need... ","""Пакiнь мяне. Мне трэба... "
"All I see here is not enough.","Гэтага недастаткова."
"regretful","спачувальны"
"  Effective pressure to comply came from co-conspirators surrounding ","  Эфектыўны цiск на падпарадкаванне, iшоў з боку атачэння змоўшчыкаў "
"A snow storm has come.","Надышла завея."
"striking a triumphant pose","прымае паставу пераможцы"
"Seriously injured","Сур'ёзна паранены"
"Master","Майстар"
"It is now summer.","Надышло лета."
"Nobles and administrators","Шляхта i адмiнiстрацыя"
"Gather fruit and vegetables from shrubs in this zone.","Збiраць садавiну i гароднiну з кустоў у гэтай зоне."
"Inveigh Against ","Аспрэчыць "
"Move the camera","Рухайце камеру"
"medicine:method:fracture immobilization","медыцына:метад:iммабiлiзацыя злома косткi"
"Visitor cap","Столь наведвальнiкаў"
"straight scar.  ","прамы шнар. "
"DOOR TAKEN BY INVADERS","ДЗВЕР ЗАНЯТАЯ ЗАХОПНIКАМI"
"Designating items for melting","Прызначэнне прадметаў для плаўлення"
"can assign and edit the routines your soldiers will follow. ","можаце прызначаць i рэдагаваць руцiны, якiх будуць прытрымлiвацца вашы салдаты. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Прагу да ведаў, якую маюць некаторыя жыхары, можна задаволiць у [C:1:0:1]Бiблiятэцы[C:7:0:0]. "
"refugees calling themselves ","уцекачы называюць сябе "
"It has started raining.","Пачаўся дождж."
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Даць загад на збор раслiн. Для збору некаторых раслiн, трэба каб на йiх былi плады."
" a mesmerizing tale!"," зачаравальную гiсторыю!"
"Unnamed tomb","Безназоўная магiльня"
"death","смерць"
"Camera controls","Кiраванне камерай"
"be used for burial.","выкарыстана для пахавання."
"Unmet need: ","Патрэба: "
"Resets","Скiд"
"Value of temple complex","Значэнне храмавага комплексу"
" was the place to perform research."," месца для даследаванняў."
"Bowyer","Лукароб"
" with the presentation of "," з прэзентацыяй "
" available"," наяўны"
"Open","Адкрыць"
" been stunned again!"," зноўку аглушаны!"
"Austere","Строгi"
" fighting with "," б'ецца з "
"It is a","Гэта"
"autobiography","аўтабiяграфiя"
"Choose Y: ","Выберыце Y: "
"Perfectionist","Перфекцыянiст"
"dining hall","сталовая"
"No orders","Няма загадаў"
"Absolute zero","Абсалютны нуль"
"Storage path decrease (barrel combine)","Памяншэнне шляху складавання (бочкi)"
"Close friend","Блiзкi сябра"
" Upward Track (SEW)"," Узыходзячы шлях (SEW)"
"Amount of ","Колькасць "
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Кожны [C:6:0:0]Прыпынак[C:7:0:0] павiнен быць звязаны са [C:6:0:0]Складам[C:7:0:0] для таго каб [C:6:0:1]Рэчы[C:7:0:0], можна было дадаць альбо прыбраць з [C:6:0:1]Ваганеткi[C:7:0:0]."
"fighting!","змагаецца!"
"blissful","у шчасцi"
"Highest known in organization","Самы вядомы ў арганiзацыi"
"Harrowed","Знясiлены"
"I conducted an official meeting in a bedroom.","Я правёў афiцыйную сустрэчу ў спальне."
"Early afternoon","Раннi дзень"
"Deity","Боства"
"Gear assembly","Рэдуктар"
"Remove this work order.","Скасуйце працоўны загад."
"No workers","Няма рабочых"
"feeling alienated","пачуццё адчужэння"
"Select this option and any unassigned deceased pets will be buried here automatically.","Выберыце гэтую опцыю, i ўсе непрызначаныя памерлыя гадаванцы будуць пахаваны тут аўтаматычна."
"There are many ways to maintain your citizens. ","Ёсць шмат спосабаў як гэта зрабiць. "
"no","не"
"Good with language","Добра з мовамi"
