"its","el seu"
"Activity","Activitat"
"Training Session","Sessi¢ d'Entrenament"
"Activity Event","Event d'Activitat"
"Research","Investigar"
"Play","Jugar"
"Worship","Venerar"
"Socialize","Socialitzar"
" empty "," buidar "
" empties "," buida "
" pick up "," recollir "
" picks up "," recull "
" embraces "," abra‡a "
" gives you "," et d¢na "
" has discovered "," ha descobert "
" has become a student of "," s'ha convertit en estudiant de "
"Ponder ","Reflexionar "
"Learn ","Aprendre "
"Teach ","Ensenyar "
"Discuss ","Parlar "
"Read","Llegir"
"Write","Escriure"
"Write about ","Escriure sobre "
"Copy","Copiar"
"Meditate on ","Meditar sobre "
"Pray to ","Pregar a "
"Go to Combat Training","Anar a l'Entrenament de Combat"
"Organize Combat Training","Organitzar l'Entrenament de Combat"
"Lead Combat Training","Dirigir l'Entrenament de Combat"
"Wait for Combat Training","Esperar a l'Entrenament de Combat"
"Play Make Believe","Jugar a Fer Creure"
"Play with ","Jugar amb "
"Toy","Joguina"
"Tell Story","Contar una Hist•ria"
"Listen to Story","Escoltar la Hist•ria"
"Listen to Poetry","Escoltar la Poesia"
"Play ","Tocar "
"Simulate ","Imitar "
"Sing","Cantar"
"Chant","Corejar"
"Recite Poetry","Recitar Poesia"
"Perform Music","Tocar M£sica"
"Listen to Music","Escoltar la M£sica"
"Perform Dance","Fer una Dansa"
"Watch Dance","Mirar la Dansa"
"Go to ","Anar a "
" Demonstration"," Demostraci¢"
"Lead ","Dirigir "
"Organize ","Organitzar "
"Watch ","Mirar "
"Wait for ","Esperar a "
"Serve Customer","Servir un Client"
"Serve ","Servir "
"Go to Individual Combat Drill","Anar a Exercici de Combat Individual"
"Individual Combat Drill","Exercici de Combat Individual"
"/Resting","/Descansant"
"Go to Sparring Match","Anar a Entrenament de Combat"
"Spar","Combatre"
"Go to Sparring Practice","Anar a Pr…ctica de Combat"
"Watch Sparring Practice","Observar Pr…ctica d'Entrenament"
"Archery Practice","Pr…ctica amb Arc"
"You cannot perform here.","No pots actuar aqu¡."
"You could not find a partner.","No has pogut trobar parella."
"There are not enough dancers.","No hi han suficients ballarins."
"There is not enough room to perform here.","No hi ha suficient espai per actuar aqu¡."
"You","T£"
