"more presumptious","domìçlivØjç¡"
"Throw ","Hodit "
"Unknown creature in ","Nezn m‚ stvoýen¡ v "
"has an extremely thin frame with a lot of fat on it","m  extr‚mnØ hubenou postavu s velkìm mno§stv¡m tuku"
"stuck on research topic","zasekl se na vìzkumn‚m t‚matu"
"Seek Patient for Diagnosis","Hledat pacienta k diagn¢ze"
"full ","plnì "
"Quick to despair","Rychle propad  zoufalstv¡"
"Archery","Lukostýelnice"
"Early evening","PodveŸer"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","V lka je nØkdy nutn , ale m¡r mus¡ bìt tak‚ cenØn, kdykoli ho m…§eme m¡t."
"Woodworking","Truhl ýstv¡"
"Default attack is a charging strike.","Vìchoz¡ £tok je £der s rozbØhem."
"steward","spr vce"
"Vermin escaped from cage","Hmyz unikl z klece"
"no longer imprisoned","ji§ neuvØznØn"
"Infiltration Plot","Infiltrace"
"devouring ","pohlcuj¡c¡ "
"medicine:method:cauterization","medic¡na:metoda:kauterizace"
"Brook","Potok"
"banish","vyhnat"
"State minor feeling of confusion","Vyj dýit m¡rnì zmatek"
"Continue action","PokraŸovat v Ÿinnosti"
"Open tree-felling mode","Otevý¡t re§im k cen¡ strom…"
"This must be the will of ","To mus¡ bìt v…le "
"Ice Track (SEW)","Ledov  cesta (J-V-Z)"
"I will accept the child into my home.","Pýijmu d¡tØ do sv‚ho domova."
"the treatment of plants","zach zen¡ s rostlinami"
" Bin"," Bedna"
"the completion of ","dokonŸen¡ "
"Go to Writing Place","J¡t na m¡sto psan¡"
"Need soil at location","Vy§aduje p…du na m¡stØ"
"Bookcases: ","Knihovny: "
"has a narrow","m  £zkou"
"artfully indulges the author's fancies","umØlecky vych z¡ vstý¡c autorovìm rozmar…m"
" divine aspect of "," bo§sk‚ho aspektu "
"This parameter set will be reset.","Tato sada parametr… bude resetov na."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","ZaŸni vyznaŸovat novou z¢nu.  Jakmile jsou pole vybr na, budeç moci nastavit podrobnosti."
