"more presumptious","mer‚szebb"
"Throw ","Dob s "
"Unknown creature in ","Ismeretlen l‚ny bent "
"has an extremely thin frame with a lot of fat on it","rendk¡vl v‚kony, sok zs¡rral bor¡tott teste van"
"stuck on research topic","leragadt a kutat si t‚m n l"
"Seek Patient for Diagnosis","Keressen beteget a diagn¢zis ‚rdek‚ben"
"full ","tele "
"Quick to despair","Gyors a k‚ts‚gbees‚s"
"Archery","Öj szat"
"Early evening","Kora este"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","A h bor£ n‚ha elkerlhetetlen, de a b‚k‚t is nagyra kell ‚rt‚kelnnk, amikor lehet‹s‚gnk van r ."
"Woodworking","Fafeldolgoz s"
"Default attack is a charging strike.","Az alap‚rtelmezett t mad s egy rohan¢ csap s."
"steward","p‚nzt ros"
"Vermin escaped from cage","Egy k rtev‹ kiszabadult a ketrec‚b‹l"
"no longer imprisoned","m r nem van b”rt”nben"
"Infiltration Plot","Behatol si terv"
"devouring ","felfal¢ "
"medicine:method:cauterization","gy¢gy szat:m¢dszer:kauteriz ci¢"
"banish","elûzni"
"State minor feeling of confusion","Enyhe zavarodotts g ‚rz‚se"
"Continue action","Mûvelet folytat sa"
"Open tree-felling mode","Fakiv g si m¢d megnyit sa"
"This must be the will of ","Ez biztosan az ‹ akarata "
"Ice Track (SEW)","J‚gp lya (SEW)"
"I will accept the child into my home.","Befogadom a gyermeket az otthonomba."
"the treatment of plants","a n”v‚nyek kezel‚se"
" Bin"," Kuk s"
"the completion of ","a befejez‚se "
"Go to Writing Place","Ugr s az Ör si sarokra"
"Need soil at location","A helysz¡nen talajra van szks‚g"
"Bookcases: ","K”nyvespolcok: "
"has a narrow","keskeny"
"artfully indulges the author's fancies","mûv‚szien enged a szerz‹ fant zi j nak"
" divine aspect of "," isteni vonatkoz sa "
"This parameter set will be reset.","Ez a param‚terk‚szlet alaphelyzetbe  ll."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Kezdd el festeni az £j terletet!  Miut n kiv lasztottad a lapokat, be ll¡thatod a r‚szleteket."
"After a long journey, you are here to meet your most trusted companion.","Hossz£ utaz s ut n v‚gre ide‚rt‚l, hogy tal lkozz a legmegb¡zhat¢bb t rsaddal."
"after being away from family","miut n t vol volt a csal dj t¢l"
"interacting with a pet","kapcsolat a h zi llattal"
" starts to mutter under "," mag ban morogni kezd "
"Tools","Eszk”z”k"
"Chase Opponent Flood","Chase ellenfele, Flood"
"Extract from raw fish","Nyers halb¢l kivont anyag"
"In party: ","R‚sztvev‹k: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Parancsot kapt l, hogy ”ld meg ezt a l‚nyt."
"presents a different view of the subject of","m s n‚z‹pontot mutat be a k”vetkez‹ t‚m r¢l:"
"a strengthening ","er‹s¡t‚s "
"This","Ez"
"'s acceptance of ","'s elfogad sa "
"the surrounding area","a k”rny‚k"
"is grounded in reality","a val¢s gon alapul"
"This is love.","Ez a szerelem."
"the collision of ","az tk”z‚s "
" near magma"," a magma k”zel‚ben"
"really slow to heal","nagyon lassan gy¢gyul"
"sticks","p lcik k"
"exchange","csere"
"Up/Down Stair","Fel/Le a l‚pcs‹n"
"Huge Profile","Hatalmas profil"
"Excellent","Kiv l¢"
"novel","reg‚ny"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","V lasszon ki egy rakt rk‚szletet, amellyel a p lya llom s j rmûve  rukat fog cser‚lni.  A j rmû felveszi a k¡v nt  rukat, a t”bbit pedig kirakja."
"Forbid trap cleaning during sieges","Tiltani kell a csapd k tiszt¡t s t ostromok idej‚n"
"It makes me very anxious.","Ez nagyon nyugtalan¡t."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Igen, ‚s cser‚lni is fogunk! Csak mondd el, mi ‚rdekel, ‚s mit vagy hajland¢ cser‚be felaj nlani."
"believes that the time taken to master a skill is a horrible waste","£gy v‚li, hogy egy k‚szs‚g elsaj t¡t s hoz szks‚ges id‹ rettenetes pazarl s"
"grow funding network","a finansz¡roz si h l¢zat b‹v¡t‚se"
", but it passes right through!",", de egyenesen  thalad rajta!"
"doesn't respect a society that has settled into harmony without debate and strife","nem tiszteli azt a t rsadalmat, amely vita ‚s visz ly n‚lkl, b‚k‚sen ‚l egytt"
"al voices bring melody, counterpoint and rhythm","az egyes hangok dallamot, kontrapunktot ‚s ritmust hoznak l‚tre"
"is tiny and weak","apr¢ ‚s gyenge"
"the divergence of the harmonic series","a harmonikus sorozat divergenci ja"
"Charge Attack","T mad¢ roham"
"It is an example of ","Ez egy p‚lda a "
"Crushed under a collapsing ceiling","Egy beoml¢ mennyezet al  szorult"
"Cannot chop tree","Nem lehet f t kiv gni"
"Certainly considered a bully","Mindenk‚ppen zsarnoknak tekinthet‹"
"Guilty","Bûn”s"
"the construction and use of the water-powered trip hammer","a v¡zzel hajtott kalap cs meg‚p¡t‚se ‚s haszn lata"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","K‚szlj fel arra, hogy b tor v‚denceidet a szerencs‚hez vezess egy sz mtalan vesz‚lyt rejt‹ vil gban. "
"groups","csoportok"
"strings vibrate","a h£rok rezegnek"
"I was yelled at by an unhappy citizen.","Egy el‚gedetlen polg r kiab lt velem."
"high-voiced","magas hang£"
"Others were too wary to make the journey.","M sok t£ls gosan ¢vatosak voltak ahhoz, hogy megtegy‚k az utat."
"Acknowledge lack of joy","Ismerd el az ”r”m hi ny t"
"zaniness","bolonds g"
" was claimed","  ll¡tott k"
"is never moved by the emotions of others","soha nem hatnak r  m sok ‚rzelmei"
"be moderately loud","legyen k”zepesen hangos"
"Order listener to ","A listener be ll¡t sa a k”vetkez‹re: "
"finds leisure time wasteful","a szabadid‹t pazarl snak tartja"
"Loading work quotas...","Munkakv¢t k bet”lt‚se..."
", rather than walking leisurely.""",", ahelyett, hogy k‚nyelmesen s‚t ln nk."""
"Cannot generate random creatures -- missing creature variation ","Nem lehet v‚letlenszerû l‚nyeket gener lni - hi nyoznak a l‚nyv ltozatok "
"a murder","egy gyilkoss g"
"State minor feeling of vengefulness","Enyhe bossz£v gyat ‚rez"
"Acknowledge lack of wonder","Ismerd el a csod lat hi ny t"
"events","esem‚nyek"
"You begin","Te kezdesz"
"Many civilizations keep them as pets and work animals.","Sz mos civiliz ci¢ tartja ‹ket h zi llatk‚nt ‚s munk llatk‚nt."
"thrilled","elragadtatva"
"ash","hamu"
"a foiled corruption conspiracy","egy meghi£sult korrupci¢s ”sszeeskv‚s"
"amber","borosty n"
"being unable to find somebody to complain to about job scarcity","nem tal lni senkit, akinek panaszkodhatn‚k a munkahelyek hi ny r¢l"
"various civilized races peopled the world.","A vil got kl”nf‚le civiliz lt n‚pek lakt k."
"Children.","Gyerekek."
"more wasteful","pazarl¢bb"
"Investigate or interrogate (new menu)","Vizsg lat vagy kihallgat s (£j men)"
" from a period of no rule"," a korm nyzatlans g id‹szak b¢l"
" second"," m sodik"
"wait","v rj"
"has a narrow, prominent","keskeny, kiugr¢"
"to beseech","k”ny”r”gni"
"Collapsed","™sszecsukva"
"engineering:machine:piston","m‚rn”ki tudom ny:g‚p:dugatty£"
"Enemy/merchant population trigger 3","Ellens‚ges/keresked‹i n‚pess‚g 3. kiv lt¢ esem‚ny"
"Click a creature to start a new conversation","Kattints egy l‚nyre, hogy £j besz‚lget‚st kezdj!"
"Furniture/siege ammo","B£torok/ostroml‹szerek"
"to bathe the world in chaos","hogy a vil got k oszba bor¡tsa"
"Requests (Imports from ","K‚r‚sek (Importok a "
