"its","suo"
"it","esso"
"itself","sÇ stesso"
"Activity","AttivitÖ"
"Training Session","Sessione di addestramento"
"Activity Event","AttivitÖ evento"
"Research","Ricerca"
"Play","Gioca"
"Worship","Culto"
"Socialize","Socializza"
"Traits","Tratti"
" empty "," vuoto "
" empties "," svuota "
" pick up "," raccogli "
" picks up "," raccoglie "
" embraces "," abbraccia "
"Milliseconds interface shutdown after recenter","L'interfaccia dei millisecondi si chiude dopo aver ricentrato"
" has shared many tales from beyond "," ha condiviso molte storie dall'estero "
" has shared a few rumors."," ha condiviso alcune dicerie."
" has shared a rumor from abroad."," ha condiviso una diceria dall'estero."
" gives you "," ti da "
" has discovered "," ha scoperto "
" has become a student of "," ä diventato studente di "
"draining","drenaggio"
"Clear glass","Vetro chiaro"
"Off map","Fuori mappa"
" twisted into humanoid form"," si ä convertito in forma umanoide"
"company","compagnia"
"Ponder ","Riflette "
"Learn ","Impara "
"Teach ","Insegna "
"Discuss ","Discute "
"Read","Leggi"
"Write","Scrivi"
"Write about ","Scrivi di "
"Copy","Copia"
"Meditate on ","Medita su "
"Pray to ","Prega "
"Go to Combat Training","Vai all'addestramento"
"Organize Combat Training","Organizza l'addestramento"
"Lead Combat Training","Guida addestramento"
"Wait for Combat Training","Aspetta l'addestramento"
"Play Make Believe","Gioca a far finta"
"Play with ","Gioca con "
"Toy","Giocattolo"
"Inveigh Against ","Inveisce contro "
"Promote ","Promuove "
"Law","Legge"
"Loyalty","LealtÖ"
"Family","Famiglia"
"Friendship","Amicizia"
"Power","Energia"
"Truth","VeritÖ"
"Cunning","Astuzia"
"Eloquence","Eloquenza"
"Fairness","Correttezza"
"Decorum","DignitÖ"
"Tradition","Tradizione"
"Artwork","Opera d'arte"
"Cooperation","Cooperazione"
"Independence","Indipendenza"
"Stoicism","Stoicismo"
"Introspection","Introspezione"
"Self-Control","Auto-controllo"
"Tranquility","TranquillitÖ"
"Harmony","Armonia"
"Merriment","Baldoria"
"Craftsmanship","Artigianato"
"Martial Prowess","AbilitÖ marziale"
"Skill","AbilitÖ"
"Hard Work","Duro lavoro"
"Sacrifice","Sacrificio"
"Competition","Gara"
"Perseverance","Perseveranza"
"Leisure Time","Tempo libero"
"Commerce","Commercio"
"Romance","Romanticismo"
"Nature","Natura"
"Peace","Pace"
"Knowledge","Conoscenza"
"Preach on ","Predica su "
"Listen to Sermon","Ascolta il sermone"
"Tell Story","Racconta una storia"
"Listen to Story","Ascolta una storia"
"Listen to Poetry","Ascolta una poesia"
"Play ","Suona "
"Simulate ","Simula "
"Sing","Canta"
"Chant","Intona un canto"
"Recite Poetry","Recita una poesia"
"Perform Music","Esegue una musica"
"Listen to Music","Ascolta la musica"
"Perform Dance","Danza"
"Watch Dance","Guarda la danza"
"Go to ","Vai verso "
" Demonstration"," Dimostrazione"
"Lead ","Guida "
"Organize ","Organizza "
"Watch ","Guarda "
"Wait for ","Aspetta "
"Serve Customer","Servi Cliente"
"Go to Individual Combat Drill","Vai all'allenamento di combattimento individuale"
"Individual Combat Drill","Allenamento di combattimento individuale"
"/Resting","/Riposa"
"Go to Sparring Match","Vai a sfida di pugilato"
"Spar","Pugilato"
"Go to Sparring Practice","Vai a pratica di pugilato"
"Watch Sparring Practice","Guarda pratica di pugilato"
"Archery Practice","Pratica con l'arco"
"You cannot perform here.","Non puoi esibirti qui."
"You could not find a partner.","Non sei riuscito a trovare un compagno."
"There are not enough dancers.","Non ci sono abbastanza danzatori"
"There is not enough room to perform here.","Non c'ä abbastanza spazio per esibirsi qui."
"You","Tu"
"Some children","Alcuni bambini"
"is","ä"
"are","sono"
"begins","inizia"
"begin","inizio"
" playing make believe."," giocando a far finta."
" playing with "," giocando con "
"a toy","un giocattolo"
"The performers","Gli artisti"
"a sermon on ","un sermone su "
"the story of ","la storia di "
"reciting the poem ","recitando il poema "
"an improvised recital of ","una recita improvvisata di "
"the musical composition ","la composizione musicale "
"improvised music, ","musica improvvisata, "
"dancing ","danzando "
"an improvised dance, ","una danza improvvisata, "
" in the middle of "," nel mezzo di "
"You continue the sermon.","Continui il sermone."
"The sermon continues.","Il sermone continua."
"You continue the story.","Continui la storia."
"The story continues.","La storia continua."
"You begin","Inizi"
"The poetry enters","La poesia entra"
"the "," "
" line."," linea."
"the verse paragraph","il paragrafo in versi"
" verse paragraph"," paragrafo in versi"
"the stanza","la stanza"
"You continue the poem.","Continui il poema."
"The poem continues.","Il poema continua."
"You enter ","Entri "
"The dance enters a new section with ","La danza entra in una nuova sezione con "
"The music enters ","La musica diventa "
"a simple passage","un semplice passaggio"
"the introduction","l'introduzione"
"the exposition","l'esposizione"
" of the theme"," del tema"
" of the first theme"," del primo tema"
" of the second theme"," del secondo tema"
" of the previous passage"," del precedente passaggio"
"a recapitulation","un riepilogo"
"the synthesis","la sintesi"
" of the two themes"," dei due temi"
" of previous passages"," dei passaggi precedenti"
"a verse","un verso"
"a chorus","un coro"
"the finale","il finale"
"the coda","la coda"
"a bridge-passage","un bridge"
"first ","primo "
"second ","secondo "
"theme","tema"
"a series of variations","una serie di variazioni"
" on the theme"," sul tema"
" on the first theme"," sul primo tema"
" on the second theme"," sul secondo tema"
" and "," e "
"You continue the dance.","Continui la danza."
"The dance continues.","La danza continua."
"You continue the music.","Continui la melodia."
"The music continues.","La musica continua."
"You conclude your performance.","Concludi la tua esibizione."
"The performers are finished.","Gli artisti hanno finito."
"Some performers finish their act.","Alcuni artisti terminano la loro esibizione."
" has finished performing."," ha finito la propria esibizione."
" concludes a performance."," termina un'esibizione."
"You've learned ","Hai imparato "
"You feel like you know the basic rules of ","Ti sembra di conoscere le regole base di "
" now."," ora."
"Your","Il tuo"
"'s","di"
" lay"," appoggia"
" forth an awe-inspiring sermon for the ages!"," avanti un sermone impressionante del secolo!"
" artfully deliver"," consegnare ad arte"
" a lucid and powerful sermon."," un sermone chiaro e potente."
" giving a creditable sermon."," dando un sermone degno di stima."
" just can't give a sermon very well."," non puï proprio fare un sermone decente."
" dance"," danza"
" flawlessly, like someone out of a legend!"," perfettamente, come qualcuno uscito da una leggenda!"
" dancing exceptionally."," danza eccezionalmente."
" dancing well."," danza bene."
" get"," ottiene"
" tangled up."," aggrovigliato."
" and the "," e lo "
" are indistinguishable!"," sono indistinguibili!"
"instrument","strumento"
" delivering a virtuoso performance on the "," offrendo una prestazione virtuosa sul "
" is absolutely flawless."," ä assolutamente perfetto."
"chant","canto"
"song","canzone"
" could nearly pass for the voice of the "," potrebbe quasi passare per la voce di "
" play"," giocare"
" the "," il "
" with skill."," con abilitÖ."
"sing","canta"
" beautifully."," magnificamente."
" sound"," suona"
" vaguely like the intended "," vagamente come quello inteso "
" playing the "," suonando il "
" well."," bene."
"chanting","intonando un canto"
"singing","cantando"
" make"," crea"
" a mockery of the "," una parodia di "
" with a shameworthy performance."," con una performance vergognosa."
"doesn't","non"
"don't","non"
" seem to know how to play the "," sembra sapere come suonare lo "
" sloppily"," maldestramente"
" and even forget"," e dimentica persino"
" some of the words."," alcune delle parole."
" bring"," porta"
" the poem to life with this flawless recitation."," il poema alla vita con questa impeccabile recitatione."
" choose"," sceglie"
" the perfect phrasing."," il fraseggio perfetto."
" recite"," recita"
" the words evocatively."," le parole in modo evocativo."
" enunciate"," enuncia"
" crisply."," chiaramente."
" speak"," parla"
" mumble"," mormora"
", having completely forgotten the words.",", avendo completamente dimenticato le parole."
" poorly."," malamente."
" weave"," tesse"
" a mesmerizing tale!"," un racconto affascinante!"
" tell"," racconta"
" the story in vivid detail."," la storia in modo vivido."
" telling the tale quite well."," raccontando la storia alquanto bene."
" stumble"," incespica"
" over the details."," sui dettagli."
"It has no writing.","Non ha nessuna scrittura."
"The pages are blank.","Le pagine sono bianche."
"It has no pages.","Non ha pagine."
"raised right arms","braccia destre alzate"
"Highest known in organization","Il pió noto nell'organizzazione"
"Associated Organization: ","Organizzazione associata: "
"Associated Plot: ","Trama associata: "
