"stuck on research topic","研究テーマに行き詰まる"
"Up/Down Stair","上階/下階へ移動する"
"It makes me very anxious.","それは私をとても不安にさせる"
", but it passes right through!","しかし, そのまま通過している. "
"You begin","あなたは始める"
"amber","琥珀"
"is weak and extremely short","は弱くて極端に背が低い"
"I worship no one.","私は誰も崇拝しない"
"earth","土"
"free rhythm","自由なリズム"
" Floor Grate"," 床暖炉"
"Dirt Road","土の道"
"Cloth Workshop","布職人作業場"
"Traits","特徴"
"You conclude your performance.","あなたはパフォーマンスを終わらせる"
"[C:1:0:1]Drowsy","[C:1:0:1]眠い"
"I ate at a crowded table.","混みあったテーブルで食べた"
" and the "," そして "
"Date: ","日付: "
"Lover of ","恋人の "
"Closed cases","閉じられたケース"
"swamp","湿地"
"Inveigh Against ","激しく罵る "
"Armorsmithing Workshop","防具職人仕事場"
" a mesmerizing tale!"," 魅力的な物語!"
" was the place to perform research."," 研究を行う場所でした. "
"Take me away from here.","ここから私を連れ出して"
" a friend."," 友人"
"Glowing Floor","光る床"
"jewels","宝石"
"Z Levels Above Ground","Ｚレベル:地表"
"Burned up in magma","マグマに焼かれた"
"fortresses","要塞"
"Highest known in organization","組織内で最も知られている"
"Pressure Plate","感圧版"
"Research","研究"
"position","ポシション"
"Furnace","かまど"
" chops"," 肉の塊"
"desert","砂漠"
"salt","塩"
"Weaponsmithing Pit","武器職人取引場"
"tundra","ツンドラ"
"Empty announcement ","アナウンスなし "
"I'm anguished.","苦悩している"
"You have discovered a magma pool.","マグマのたまりを発見した. "
" jump"," ジャンプ"
"Milk ","牛乳 "
"amulet","護符"
" vomit"," 嘔吐物"
"amber paste","琥珀のペースト"
"coal powder","石炭の粉"
"Maximum ","最大 "
"slayer","討伐者"
"I'm lonely.","孤独だ"
" of previous passages"," の前文"
"volcanos","火山"
"Track (EW)","トラック(EW)"
" Armor Stand"," 鎧立て"
"graceful","優雅な"
"charcoal","木炭"
" tries"," 試す"
"darkness","暗闇"
"Sacrifice","犠牲"
"This is delightful!","それはすばらしい!"
"pregnancy","妊娠"
" Coffer"," 金庫"
"work","仕事"
"Down Stair","下階に降りる"
"a tower","塔"
"Track/Ramp (W)","トラック/ランプ (w)"
"*** STARTING NEW GAME ***","*** 新しいゲームを始める***"
"Watch Sparring Practice","戦闘訓練を見る"
"wooden","木製の"
"snow","雪"
"food imports sign","食料輸入店の標識"
"[C:4:0:1]Slumberous","[C:4:0:1]まどろんでいる"
"Cloth Clothing Workshop","布衣服職人仕事場"
"a tomb","墓"
"mercy","慈悲"
"totem","トーテム"
"lightning","稲妻"
"A thief has stolen ","盗賊が盗んだ: "
"travelers","旅行者"
"Add uniform","ユニフォームを加える"
"hospitality","ホスピタリティ"
" branches"," 枝"
"Associated Plot: ","関連プロット: "
"I feel enthusiastic!","燃えるぜ!"
" has arrived."," 到着した"
"I dislike this.","これは嫌だ"
"gem","宝石"
"grime paste","垢のペースト"
"Vertical Axle","垂直ギア"
"Secret Library","秘密の図書館"
"You stand up.","あなたは立ち上がる. "
"is weak, skinny and very short","は弱々しく, 痩せていて, とても背が低い"
" block"," ブロック"
"Killed by a trap","罠によって殺された"
"legwear","脚帯"
" Cabinet"," キャビネット"
"the coda","終結部"
"[C:4:0:1]Heavy bleeding","[C:4:0:1]激しい出血"
"Commerce","商売"
"less curious","より奇妙ではない"
"generally acts with a narrow focus on the current activity","一般的に, 現在の活動に焦点を絞って行動する"
"We haven't performed for some time.","しばらくパフォーマンスしていない. "
"the cave","洞窟"
"Minimum Natural Cave Size","最小の洞窟の大きさ"
"Killed by a flying object","空飛ぶ物体に殺された"
" playing the "," 演奏する "
", having completely forgotten the words.","という言葉をすっかり忘れていた. "
"Wood Furnace","かまど"
"Who?","誰だ?"
" and even forget"," そして忘れすらする"
"portal","ポータル"
"armorsmith's shop sign","防具屋の標識"
" the perfect phrasing."," 完璧な言い回し. "
"Carpentry Pit","大工取引場"
"greeting ","あいさつ "
"Catch live land animal","動物を捕まえる"
"slower and slower ","だんだん遅く "
"Armor ","鎧 "
" stanza"," 連"
"boiling filth","沸騰している汚物"
"SMALL ISLAND","小さな島"
" with a shameworthy performance."," 恥ずかしくないパフォーマンスで"
"more fearless","より恐ろしくない"
"statue","像"
"[C:3:0:1]Stunned","[C:3:0:1]スタンした"
"You have discovered a river.","川を発見した. "
"Unknown book","未知の本"
"Bowmaking Workshop","弓職人仕事場"
"Learn ","学び "
"boss","ボス"
" shakes"," 振る"
"filth","汚物"
"harmonic minor","ハーモニックマイナー"
"is very short yet muscular and fat","はとても背が低いがマッチョで太っている"
"We should be making better progress.","もっと進歩してもいいはずだ. "
"Well dry","よく乾いた"
"pressed grime","潰された垢"
"Read","読んだ"
" the poem to life with this flawless recitation."," 完璧な朗読で詩に命を吹き込んだ. "
"I can accept this.","これを受け入れることができる"
"hospital","病院"
"is full of force","力強い"
" with "," で "
"I'm feeling great!","すばらしい!"
" break"," 壊す"
"chanting","詠唱している"
"is incredibly short","信じられないくらい背が低い"
"Custom uniform","ユニフォームをカスタムする"
"liquid container","液体コンテナ"
"begin","始める"
"chaos","混沌とした"
" has shared a few rumors."," いくつかの噂がある"
"Write","書く"
"We have arrived at our destination.","目的地に到着した. "
"Independence","独立"
"Container","コンテナ"
"Go to Individual Combat Drill","個別戦闘訓練へ"
"Ore of ","鉱石: "
"Use History Seed","歴史シードを使う"
"feeling guilty","罪悪感"
"nest box","巣箱"
"Animal ","動物 "
"casket","小箱"
"speaker","話者"
"potash slush","炭酸カリウムの泥"
", but it glances away!","だが, 目をそらした"
"ocean","大洋"
"ancient ","古代の "
"kicking","蹴り"
"diplomacy","外交"
"You continue the poem.","あなたは詩を詠むのを続ける"
"Zone","ゾーン"
"delicate","繊細な"
"A dance","踊り"
"Leather ","川 "
"POCKET REGION","極小の地域"
"is weak and skinny yet has a large build overall","は弱々しく痩せているが, 全体的にはたくましく見える"
" enunciate"," 述べる"
"musical instrument","楽器"
"great powers had returned to the world","偉大な力はこの世界に戻ってきた"
"meat","肉"
"games","ゲーム"
"anvil","金床"
"Tower Top","塔の頂上"
"Leather Clothing Pit","皮革職人取引場"
" (activity cancelled)"," (活動中止)"
"handwear","腕用着衣"
"Serve Customer","お客に給仕する"
"Number of Non-Mountain Caves","山以外での洞窟の数"
"coasts","海岸"
"You've learned ","あなたは学んだ "
"Weapon ","武器 "
"Tropical Ocean","熱帯の海"
"very high","とても高い"
"feeling hopeless","絶望を感じている"
"live ","生の "
"instrument","楽器"
"Catch live fish","魚を捕まえる"
" Bridge"," 橋"
"Leather Clothing Workshop","皮衣服職人作業場"
"It fills one with awe.","それは畏怖の念を抱かせる"
"Peace","平和"
"feeling free","自由だと感じている"
"blacksmith's shop sign","鍛冶屋の標識"
"pearlash paste","真珠粉のペースト"
"flask","フラスコ"
"We must not abandon ","を放棄してはならない.  "
"[C:3:0:1]Sluggish","[C:3:0:1]動きが鈍い"
"frozen lye","凍ったアク"
" embraces "," 抱き締める "
"dance","ダンス"
"This doesn't scare me.","これは私には恐ろしくない"
"Vanished","消滅した"
"Hard Work","苦心"
"traction bench","牽引ベンチ"
"I'm content.","満足している"
"I'm lustful.","みだらな気持ちになっている"
"stole our treasures","我々の宝を盗んだ"
"sky","空"
"dirt","土"
"ended.","終わる"
"I had a drink.","飲み物を飲んだ"
":case:cases","ケース"
"is extremely fast","極端に速い"
"Animal Trap","動物用の罠"
"stole ","盗まれた "
"small live animal","小さな生きた動物"
"gems","宝石"
"door","ドア"
"[C:4:0:1]Serious fever","[C:4:0:1]深刻な高熱に冒されている"
"It ","それ "
"Tranquility","平静"
"ceramic","セラミック"
"frozen filth powder","凍った汚物の粉"
"keep","砦"
"sometimes","時々"
"have been cursed","呪われた"
"Create new world","新しい世界を創造する"
"Spar","戦闘訓練をする"
"minerals","ミネラル"
" destroyed"," 破壊された"
"Tent","テント"
"Wait for Combat Training","戦闘訓練を待つ"
"hatch cover","ハッチカバー"
"feeling ferocious","ひどいと感じている"
"lower floors","下の階"
" Lever"," レバー"
"Unknown artifact","未知のアーティファクト"
"ponder research topic","研究テーマを熟考する"
"  However, the "," しかし "
"fishing","釣り"
"[C:6:0:1]Tired","[C:6:0:1]疲れている"
"dungeon","ダンジョン"
"General Store","よろず屋"
"always","いつも"
"I taught ","私は教えた "
" from the year "," その年から "
"Pray to ","に祈る "
"SMALLER REGION","さらに小さな地域"
"flying ","飛んでいる "
"I am not pleased.","うれしくない"
"lake","湖"
"metal","金属"
" cases"," ケース"
"speak","話す"
":Station ",":駅 "
" page "," ページ "
"tower","塔"
" has discovered "," 発見した "
" playing with "," と遊ぶ "
"mist","霧"
"weapon","武器"
"Contemptible!","情けない!"
"myself","私自身"
