"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"No alert","Brak alertu"
" often starts talking to "," cz©sto zaczyna rozmawiaÜ z "
" has a tendency to chew on "," ma tendencj© do gryzienia "
"major","dur"
"natural minor","moll naturalna"
"harmonic minor","moll harmoniczna"
"melodic minor","moll melodyczna"
"myxolydian","miksolidyjska"
"joyous","wesoàe"
"glass","szkào"
"ice","l¢d"
"mud","bàoto"
"stone","kamie‰"
"general","og¢lny"
"water","woda"
"far","daleko"
"low","niski"
"outside","na zewn•trz"
"cavern","jaskinia"
"desert","pustynia"
"forest","las"
"taiga","tajga"
"glacier","lodowiec"
"savanna","sawanna"
"lake","jezioro"
"mountains","g¢ry"
"sky","niebo"
"tavern","tawerna"
"tomb","grobowiec"
"underworld","podziemie"
"marsh","mokradào"
"swamp","bagno"
"drums","b©bny"
"Upright ","Pionowo "
"attack","atak"
"drink","pij"
"eat","jedz"
"trade","handluj"
"temple petition rejected","petycja w sprawie òwi•tyni odrzucona"
"gem","klejnot"
"announcement","ogàoszenie"
"companion","towarzysz"
"speak","m¢w"
"generic","og¢lny"
"confirm","potwierdzaÜ"
"I can't believe how great I feel!","Nie mog© uwierzyÜ jak òwietnie si© czuj©!"
" latch on firmly"," zaciska si© mocno"
"In agony","W agonii"
" event"," wydarzenie"
"Private","Prywatny"
"Values truth","Ceni prawd©"
"Distracted!","Rozproszony!"
"Monster slayer","Zab¢jca potwor¢w"
"Attend Parley","Udziaà w spotkaniu"
"Popup: Perform","Podgl•d: Wykonaj"
"Unpause","Wzn¢w"
"Historical figure","PostaÜ historyczna"
"Minimum raids before first siege (per civ)","Minimalna liczba najazd¢w przed pierwszym obl©æeniem (na cywilizacj©)"
"Finalizing material templates...","Ko‰czenie szablon¢w materiaà¢w..."
"Autosave","Autozapis"
"Offer currency","Waluta oferty"
"believes that the mastery of a skill is one of the highest pursuits","wierzy, æe opanowanie umiej©tnoòci jest jednym z najwyæszych cel¢w"
"feeling servile","czuje sàuæalczoòÜ"
"its","jego"
"it","to"
"itself","siebie"
"Activity","AktywnoòÜ"
"Training Session","Sesja Treningowa"
"Activity Event","Wydarzenie"
" as a poetic form"," jako forma poetycka"
"Research","Badania"
"Play","Graj"
"Worship","OddawaÜ czeòÜ"
"Socialize","SocjalizowaÜ si©"
" empty "," opr¢æniasz "
" empties "," opr¢ænia "
" pick up "," podnieò "
" picks up "," podnosi "
" embraces "," obejmuje "
"value ","ceniÜ "
" has shared many tales from beyond "," podzielià si© wieloma historiami spoza "
" has shared a few rumors."," podzielià si© kilkoma plotkami."
" has shared a rumor from abroad."," podzielià si© plotk• z zagranicy."
" gives you "," daje ci "
"Your dwarves might assume important positions.","Twoje krasnoludy mog• obj•Ü waæne stanowiska."
" has discovered "," odkryà "
"Knowledge","Wiedza"
" has become a student of "," zostaà uczniem "
"Ponder ","Rozwaæ "
"Learn ","Ucz si© "
"Teach ","Nauczaj "
"Discuss ","Przedyskutuj "
"Read","Czytaj"
"Write","Pisz"
"Write about ","Pisz na temat "
"Copy","Kop."
"Meditate on ","Medytuj nad "
"Pray to ","M¢dl si© do "
"Go to Combat Training","Id´ na Trening Walki"
"Organize Combat Training","Zorganizuj Trening Walki"
"Lead Combat Training","Prowad´ Trening Walki"
"Wait for Combat Training","Zaczekaj na Trening Walki"
"Play Make Believe","Baw si© w Udawanie"
"Play with ","Baw si© z "
"Toy","Zabawka"
"Inveigh Against ","ChwyÜ za bro‰ przeciwko "
"Promote ","Promuj "
"Law","Prawo"
"Loyalty","LojalnoòÜ"
"Family","Rodzina"
"Friendship","Przyja´‰"
"Power","Moc"
"Truth","Prawda"
"Cunning","PrzebiegàoòÜ"
"Eloquence","Elokwencja"
"Fairness","UczciwoòÜ"
"Decorum","PrzyzwoitoòÜ"
"Tradition","Tradycja"
"Artwork","Sztuka"
"Cooperation","Wsp¢àpraca"
"Independence","NiezaleænoòÜ"
"Stoicism","StoickoòÜ"
"Introspection","IntrospektywnoòÜ"
"Self-Control","Samokontrola"
"Tranquility","Spok¢j"
"Harmony","HarmonijnoòÜ"
"Merriment","WesoàoòÜ"
"Craftsmanship","Rzemiosào"
"Martial Prowess","WalecznoòÜ"
"Skill","Umiej©tnoòÜ"
"Hard Work","Ci©æka praca"
"Sacrifice","Poòwi©cenie"
"Competition","Konkurencja"
"Perseverance","WytrwaàoòÜ"
"Leisure Time","Czas Wolny"
"Commerce","Handel"
"Romance","RomantycznoòÜ"
"Nature","Natura"
"Peace","Pok¢j"
"Preach on ","GàosiÜ "
"Listen to Sermon","WysàuchaÜ Kazania"
"Tell Story","OpowiedzieÜ Histori©"
"Listen to Story","SàuchaÜ Historii"
"Listen to Poetry","SàuchaÜ Poezji"
"Play ","GraÜ "
"Simulate ","UdawaÜ "
"Sing","ópiewaÜ"
"Chant","SkandowaÜ"
"Recite Poetry","RecytowaÜ Poezj©"
"Perform Music","WykonywaÜ utw¢r muzyczny"
"Listen to Music","SàuchaÜ Muzyki"
"Perform Dance","Zata‰czyÜ"
"Watch Dance","ObserwowaÜ Taniec"
"Go to ","IòÜ do "
" Demonstration"," Pokaz"
"Lead ","ProwadziÜ "
"Organize ","OrganizowaÜ "
"Watch ","Ogl•daÜ "
"Wait for ","ZaczekaÜ na "
"Serve Customer","ObsàugiwaÜ Klienta"
"Serve ","SàuæyÜ "
"Go to Individual Combat Drill","Id´ na Indywidualn• Musztr©"
"Individual Combat Drill","Indywidualna Musztra"
"/Resting","/Odpoczynek"
"Go to Sparring Match","Id´ na mecz sparringowy"
"Spar","Prowad´ Sparring"
"Go to Sparring Practice","Id´ na Sparring"
"Watch Sparring Practice","Obserwuj Sparring"
"Archery Practice","Trening àuczniczy"
"more polite","bardziej uprzejmy"
"You cannot perform here.","Nie moæesz tu wyst©powaÜ."
"You could not find a partner.","Nie mogàeò znale´Ü partnera."
"There are not enough dancers.","Nie ma wystarczaj•cej liczby tancerzy."
"There is not enough room to perform here.","Jest tu zbyt maào miejsca by wyst©powaÜ."
"You","Ty"
"Some children","Jakieò dzieci"
"is","jest"
"are","s•"
"begins","zaczyna si©"
"begin","zaczynasz"
" playing make believe."," bawiÜ si© w udawanie."
" playing with "," bawiÜ si© z "
"a toy","zabawk•"
"The performers","Wykonawcy"
"a sermon on ","kazanie na temat "
"the story of ","historia "
"reciting the poem ","recytuje wiersz "
"an improvised recital of ","zaimprowizowan• recytacj© "
"the musical composition ","muzyczn• kompozycj© "
"improvised music, ","zaimprowizowan• muzyk©, "
"dancing ","ta‰czy "
"an improvised dance, ","zaimprowizowany taniec, "
" in the middle of "," po òrodku "
"You continue the sermon.","Kontynuujesz kazanie."
"The sermon continues.","Kazanie ci•gnie si© dalej."
"You continue the story.","Kontynuujesz historie."
"The story continues.","Historia ci•gnie si© dalej."
"You begin","Rozpoczynasz"
"The poetry enters","Wiersz przechodzi w"
"the "," "
" line."," linia."
"the verse paragraph","akapit wiersza"
" verse paragraph"," akapit wiersza"
"the stanza","zwrotka"
" stanza"," zwrotka"
"You continue the poem.","Kontynuujesz wiersz."
"The poem continues.","Poezja ci•gnie si© dalej."
"You enter ","Wchodzisz w "
"The dance enters a new section with ","Taniec wchodzi w now• sekcje z "
"The music enters ","Muzyka wchodzi w "
"a simple passage","proste przejòcie"
"the introduction","wprowadzenie"
"the exposition","ekspozycja"
" of the theme"," motywu"
" of the first theme"," pierwszego motywu"
" of the second theme"," drugiego motywu"
" of the previous passage"," poprzedniego przejòcia"
"a recapitulation","podsumowanie"
"the synthesis","synteza"
" of the two themes"," dw¢ch motyw¢w"
" of previous passages"," poprzednich przejòÜ"
"a verse","wers"
"a chorus","refren"
"the finale","finaà"
"the coda","koda"
"a bridge-passage","przejòcie mostowe"
"first ","pierwszy "
"second ","drugi "
"theme","motyw"
"a series of variations","serie wariacji"
" on the theme"," na temat"
" on the first theme"," na pierwszy temat"
