"Archery","Tiro ao Arco"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Guerra Ç necess†ria por vezes, mas a paz deve ter valor tambÇm, quando se a pode ter."
"I will accept the child into my home.","Aceitarei a crianáa na minha casa."
"the treatment of plants","o tratamento de plantas"
"Go to Writing Place","Ir para o Local de Escrita"
"Tools","Ferramentas"
"Up/Down Stair","Escada Ascendente/Descendente"
"I was yelled at by an unhappy citizen.","Um cidad∆o descontente gritou comigo."
"events","eventos"
"You begin","Tu comeáas"
"Shrub","Arbusto"
" terrified"," aterrorizado"
"Surgeon","Cirurgi∆o"
"former master","antigo mestre"
" is at war with us."," est† em guerra connosco."
" has brought back many tales from beyond "," trouxe muitos contos de alÇm "
"Mechanic","MecÉnico"
"woodcutter","lenhador"
"Duplicate","Duplicado"
"Your bookkeeper has done enough work to attain ","O seu contabilista fez trabalho suficiente para obter "
"denting","amolgando"
"I accept this honor.","Aceito esta honra."
"a divine being","um ser divino"
"specialized surgical instruments","instrumentos cir£rgicos especializados"
"Gladiatory Games","Jogos de Gladiadores"
"the Purchase","a Compra"
"the ghost of my sibling","o fantasma do meu irm∆o"
" Floor Grate"," Grade de Ch∆o"
"the struggle for survival","a luta pela sobrevivància"
"Dirt Road","Estrada de Terra"
"a castle wall","uma parede de castelo"
"legendary bully","abusador lend†rio"
"Pike","Pique"
"the Secret","o Segredo"
"You conclude your performance.","Vocà termina o seu espet†culo."
"River Source","Nascente de Rio"
"Monk","Monge"
"Regions","Regi‰es"
" and the "," e o "
"Date: ","Data: "
"A snow storm has come.","Uma nev∆o veio."
"Master","Mestre"
"It is now summer.","Agora Ç Ver∆o."
"Battle","Batalha"
"Inveigh Against ","Repreender "
"Mountain: ","Montanha: "
"Ninth","Nono"
"a armorsmith's shop","uma loja de armeiro"
"Already interviewed","J† entrevistado"
"It has started raining.","Comeáou a chover."
" a mesmerizing tale!"," um conto hipn¢tico!"
"death","morte"
"The dead!","Os mortos!"
"the Mausoleum","o MausolÇu"
"High Precision","Precis∆o Alta"
"Loading image sets...","A carregar conjuntos de imagens..."
"legendary villain","vil∆o lend†rio"
"Tropical Shrubland","Zona Arbustiva Tropical"
"the Assumption","a Assumpá∆o"
" a friend."," um amigo."
" property was confiscated"," propriedade foi confiscada"
"the Duel","o Duelo"
" been stunned again!"," foi novamente atordoado!"
"iguana","°guana"
"fragile","fr†gil"
"Insanity","Loucura"
"time","tempo"
"Initiation","Iniciaá∆o"
"certain lines ","certas linhas "
"Highest known in organization","Mais alto conhecido na organizaá∆o"
"the Gamble","a Jogada"
"Sixth","Sexto"
"pasture","campo de pasto"
"Winter has arrived on the calendar.","O Inverno chegou no calend†rio."
"the Ghost","o Fantasma"
"dreams of falling in love","sonha em ficar apaixonado"
"Slate","Xisto"
" merchant company from "," companhia mercante de "
"west","oeste"
"I don't have enough armor stands.","N∆o tenho armaá‰es para armadura suficientes."
"Pressure Plate","Placa de Press∆o"
"Research","Pesquisar"
"Temperate","Temperado"
"infamous bully","abusador infame"
