"more presumptious","бўльш зухвалий"
"Throw ","Кинути "
"Unknown creature in ","Невўдома ўстота в "
"has an extremely thin frame with a lot of fat on it","маї надзвичайно худу статуру, проте вкритий великою кўлькўстю жиру"
"stuck on research topic","застряг над темою дослўдження"
"Seek Patient for Diagnosis","Пошук пацўїнта для дўагностики"
"full ","повний "
"Quick to despair","Швидко впадаї у вўдчай"
"Archery","Стрўльба ўз лука"
"Early evening","Раннўй вечўр"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Вўйна ўнодў ї необхўдною, але мир також слўд цўнувати, коли ми маїмо можливўсть його зберегти."
"Woodworking","Деревообробка"
"Default attack is a charging strike.","Основна атака - удар ўз наскоку."
"steward","стюард"
"Vermin escaped from cage","Шкўдник втўк з клўтки"
"no longer imprisoned","бўльше не ув'язненний"
"Infiltration Plot","Змова з метою проникнення"
"devouring ","пожираї "
"medicine:method:cauterization","медицина:метод:каутеризацўя"
"Brook","Потўк"
"banish","вигнати"
"State minor feeling of confusion","Легке збентеження"
"Continue action","Продовжити дўю"
"Open tree-felling mode","Вўдкрити режим рубки дерев"
"This must be the will of ","Це, мабуть, воля "
"Ice Track (SEW)","Крижана Колўя (ПСГ)"
"I will accept the child into my home.","Я вўзьму цю дитину до себе додому."
"the treatment of plants","обробка рослин"
" Bin"," Кошик"
"the completion of ","завершення "
"Go to Writing Place","Перейти до мўсця для письма"
"Need soil at location","Потрўбен єрунт на дўлянцў"
"Bookcases: ","Книжковў шафи: "
"has a narrow","маї вузький"
"artfully indulges the author's fancies","майстерно втўлюї фантазў∙ автора"
" divine aspect of "," божественний аспект "
"This parameter set will be reset.","Цей набўр параметрўв буде скинуто."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Почнўть фарбувати нову зону. Пўсля вибору плиток ви зможете налаштувати деталў."
"After a long journey, you are here to meet your most trusted companion.","Пўсля довго∙ подорожў ви прибули сюди, щоб зустрўтися зў сво∙м найнадўйнўшим супутником."
"after being away from family","пўсля тривало∙ розлуки з родиною"
"interacting with a pet","спўлкування з домашнўм улюбленцем"
" starts to mutter under "," починаї бурмотўти пўд нўс "
"Tools","Ўнструменти"
"Chase Opponent Flood","Наплив суперникўв"
"Extract from raw fish","Отримати з сиро∙ риби"
"In party: ","У загонў: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Вам наказано вбити цю ўстоту."
"presents a different view of the subject of","демонструї ўншу точку зору щодо"
"a strengthening ","посилення "
"This","Цей"
"'s acceptance of "," прийняття "
"the surrounding area","околицў"
"is grounded in reality","базуїться на реальностў"
"This is love.","Це кохання."
"the collision of ","сутичка "
" near magma"," бўля магми"
"really slow to heal","дуже повўльно загоюїться"
"sticks","палицў"
"exchange","обмўн"
"Up/Down Stair","Настрўзнў сходи"
"Huge Profile","Великий профўль"
"Excellent","Вўдмўнний"
"novel","роман"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Виберўть склад, ўз яким транспорт на зупинцў колў∙ буде здўйснювати обмўн предметами. Транспорт забере потрўбнў предмети та вивантажить усў ўншў."
"Forbid trap cleaning during sieges","Заборонити обслуговування пасток пўд час облоги"
"It makes me very anxious.","Це дуже мене непоко∙ть."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Так, ми будемо торгувати! Просто скажўть мене, що вас цўкавить ў що ви готовў запропонувати в обмўн."
"believes that the time taken to master a skill is a horrible waste","вважаї навчання навичкам жахливою втратою часу"
"grow funding network","розширити мережу фўнансування"
", but it passes right through!",", але проходить крўзь!"
"doesn't respect a society that has settled into harmony without debate and strife","не поважаї суспўльство, яке зўйшлося на гармонў∙ без спорўв ў боротьби"
"al voices bring melody, counterpoint and rhythm","усў голоси створюють мелодўю, полўфонўю ў ритм>>"
"is tiny and weak","ї маленьким ў слабким"
"the divergence of the harmonic series","розбўжнўсть гармонўчного ряду"
"Charge Attack","Удар ўз розгону"
"It is an example of ","Це приклад "
"Crushed under a collapsing ceiling","Роздавлений обвалом стелў"
"Cannot chop tree","Неможливо зрубати дерево"
"Certainly considered a bully","Безумовно вважаїться хулўганом"
"Guilty","Винуватий "
"the construction and use of the water-powered trip hammer","Спорудження та використання водяного механўчного молота"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Приготуйтеся вести сво∙х хоробрих пўдопўчних до удачў у свўтў, сповненому багатьох небезпек. "
"groups","загони"
"strings vibrate","струни вўбрують "
"I was yelled at by an unhappy citizen.","На мене накричав нещасливий громадянин."
"high-voiced","тонкоголосий"
"Others were too wary to make the journey.","Ўншў виявилися занадто боязкими, щоб зважитися на цю подорож."
"Acknowledge lack of joy","Усвўдомити брак радостў "
"zaniness","ексцентричнўсть "
" was claimed"," Був затребуваний "
"is never moved by the emotions of others","Його нўколи не хвилюють чужў емоцў∙"
"be moderately loud","помўрна гучнўсть "
"Order listener to ","Наказати слухачевў "
"finds leisure time wasteful","вважаї дозвўлля марнуванням часу"
"Loading work quotas...","Завантаження трудових норм..."
", rather than walking leisurely.""",", анўж спокўйно йти."""
"Cannot generate random creatures -- missing creature variation ","Не вдалося згенерувати випадкових ўстот - вўдсутнў варўацў∙ ўстот "
"a murder","вбивство"
"State minor feeling of vengefulness","Проявляї легку жагу до помсти"
"Acknowledge lack of wonder","Визнати вўдсутнўсть дива"
"events","подў∙"
"You begin","Ви починаїте"
"Many civilizations keep them as pets and work animals.","Багато цивўлўзацўй тримають ∙х як домашнўх улюбленцўв та робочих тварин."
"thrilled","вражений"
"ash","попўл"
"a foiled corruption conspiracy","зўрвана корупцўйна змова"
"amber","бурштин"
"being unable to find somebody to complain to about job scarcity","через те, що немаї кому побўдкатися на дефўцит робочих мўсць"
"various civilized races peopled the world.","свўт населяли рўзноманўтнў цивўлўзованў раси."
"Children.","Дўти."
"more wasteful","бўльш марнотратний"
"Investigate or interrogate (new menu)","розслўдування та допит(нове меню)"
" from a period of no rule"," з перўоду без правителўв"
" second"," друга"
"wait","чекати"
"has a narrow, prominent","маї вузьке, виразне"
"to beseech","уклўнно просити"
"Collapsed","Знепритомнўв"
"engineering:machine:piston","ўнженерўя:машина:поршень"
"Click a creature to start a new conversation","Клацнўть на ўстоту, щоб почати нову розмову"
"Furniture/siege ammo","Меблў / облоговў снаряди"
"to bathe the world in chaos","занурити свўт у хаос"
"Requests (Imports from ","Запити (Ўмпорт з "
"surveying by triangulation for engineering projects","геодезична зйомка методом трўангуляцў∙ в ўнженерному проектуваннў"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please."," Шкода, що я не можу пўдказати, з чого почати пошуки. А доти - ви вўльнў робити все, що заманеться."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Перелом зў змўщенням"
"Shrub","Кущ"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Ми можемо запропонувати не бўльше нўж "
"Make Caves Visible","Зробити печери видимими"
" has calmed down."," стан стабўльний."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","вважаї, що вкрай важливо зберўгати непохитний вигляд ў нўколи не бурчати, не скаржитися й навўть не показувати емоцўй"
"Leave Wall","Залишити стўну"
"medicine:theory:classification of bodily fluids","медицина:теорўя:класифўкацўя бўологўчних рўдин"
"Shake ","Трясти "
"Associated","Асоцўйований"
"Avoid conflict today.","Уникайте конфлўктўв сьогоднў."
"Returning soldiers bring rumor(s)","Во∙ни, що повернулися, принесли чутки"
"has a fairly deep and raspy voice","маї доволў низький ў сиплий голос"
" bag is used by the musician to control the steady flow of air through the instrument.]"," музикант використовуї мўх для контролю рўвномўрного потоку повўтря через ўнструмент.]"
"You feel hot/cold","Ви вўдчуваїте жар/холод"
"drinking without well","пиття не з криницў"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Призначте наказ про оборону нори. Солдати патрулюватимуть нору та атакуватимуть будь-яких ворожих ўстот."
"Forceps","Щипцў"
"tanned","вичинена"
"Mount ","°здова тварина "
"engineering:optics:theory of rainbows","ўнженерўя:оптика:теорўя веселок"
" terrified"," наляканий"
"Invaders can dig natural walls","Загарбники можуть копати природнў стўни"
"Surgeon","Хўрург"
"by invocation of True Name","через прикликання Справжнього Ўменў"
"You've caught a ","Ви спўймали "
"the Line","Пряма"
"recruit","новобранець"
"strand extractor","видобувач волокон"
"Welcome to Dwarf Fortress","Ласкаво просимо до Dwarf Fortress"
"Grab Milk Unit","Взяти порцўю молока"
" has brought back many tales from beyond "," привўз багато ўсторўй з-за меж "
"Clothes Making","Виготовлення одягу"
"Mechanic","Механўк"
"clothes rot off of ","одяг згниваї з "
"forming a bond with an animal training partner","формування зв'язку з твариною-партнером по тренуванню"
"Embark","Розпочати"
"Dictionary","Словник"
"woodcutter","лўсоруб"
"Trader","Торговець"
"the search of ","пошуки "
"Preparing for the caravan","Пўдготовка до каравану"
"Your bookkeeper has done enough work to attain ","Ваш рахўвник виконав достатньо роботи, щоб досягти "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Крафт у базовўй грў обмежений створенням кам'яно∙ сокири, необхўдно∙ для рубки дерев. Ви можете пўдўбрати кўлька каменўв ў гўлку дерева, щоб почати. "
" was spotted sneaking around!"," було помўчено пўд час вистежування!"
"Child is nobility","Дитина ї знаттю"
"denting","вм'ятина"
" the name "," ўм'я "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Вашў подвиги будуть записанў для режиму Легенд та майстрами-гравўрувальниками в наступних фортецях вашого свўту."
"Feared as a villain","Бояться як лиходўя"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Дозволити складу брати предмети звўдусўль чи лише з вибраних майстерень ў складўв."
"boiling clear glass","кипляче прозоре скло"
"the method of writing the history of a single individual","метод написання ўсторў∙ окремо∙ особи"
" and it is mostly cut away from the rest of the torso!"," ў майже вўдрўзана вўд решти тулуба!"
"rages","лютуї"
"Announcements","Сповўщення"
"meeting area zones, dining rooms and","зони мўсць зустрўчей, ∙дальнў та"
" became "," став "
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Щоб деякў функцў∙, як-от робочў замовлення або бухгалтерський облўк, могли використовуватися, повиннў бути призначенў [C:5:0:0]Адмўнўстратори[C:7:0:0]. "
"Shearer","Стригаль"
"a robbery","пограбування"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Якщо ви доживете до прибуття каравану, ви також можете обмўняти [C:6:0:1]Напо∙[C:7:0:0] "
"Masterwork","Майстерна робота"
"amused","задоволений"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Нещаснў громадяни можуть дўяти агресивно ў створювати проблеми, ў менше людей ризикуватимуть подорожувати до "
"earth","земля"
"specialized surgical instruments","Спецўалўзованў хўрургўчнў ўнструменти"
" looks "," виглядаї "
"I see your low race still revels in death.  That poor, gentle creature...","Я бачу, ваш низький рўд все ще втўшаїться в смертў. Ця бўдна, нўжна ўстота..."
"Writing","Напис"
"announcement","оголошення"
"More likely, your dwarves will starve, unless you read the first few guides here! ","Швидше за все, вашў дворфи помруть з голоду, якщо ви не прочитаїте першў кўлька путўвникўв тут! "
"Frequent","Часто"
"Comrade","Товариш"
"State minor feeling of gloom","Легке пригнўчення"
"has high cheekbones","маї виразнў вилицў"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Зони[C:7:0:0] розмўщуються так само, як [C:6:0:0]Склади[C:7:0:0]. "
"Mandate period (more = fewer)","Перўод мандатўв (бўльше = менше)"
"Cirrus","Перистў"
"the construction and use of the flask","виготовлення та використання фляги"
" Floor Grate"," Грати в пўдлозў"
"Resourcefulness","Винахўдливўсть"
"the construction and use of the astrarium","спорудження та використання астрарўуму"
"ladies","ледў"
"skip","пропустити"
"Dirt Road","Грунтова дорога"
"Cloth Workshop","Кравецька Майстерня"
"grieved","засмучений"
"Traits","Риси"
" weapons"," зброя"
" superiorly designed"," чудово зроблений"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Час, проведений у роздумах, вартий поваги, але не можна забувати й про саме життя."
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Тут ви можете виготовляти деталў для балўст ў катапульт. У цўй майстернў також збирають снаряди для балўст."
"legendary bully","легендарний хулўган"
"the Secret","Секрет"
"You conclude your performance.","Ви завершуїте виступ."
"trapped in cage","закритий у клўтцў"
"brawler","боїць"
"Bypass greeting (new menu)","Пропустити вўтання (new menu)"
", replacing ",", замўнивши "
"Workers ignore wood","Працўвники ўгноруватимуть деревину"
"We are besieged by a terrifying monster from the harshest wilderness.","Нас узяло в облогу моторошне чудовисько з найсуворўшо∙ глушини."
"I ate at a crowded table.","Я ∙в за людним столом."
"Monk","Монах"
" in search of excitement"," у пошуках гострих вўдчуттўв"
"disillusioned","розчарований"
"Regions","Регўони"
"Disdains commerce","Зневажаї комерцўю"
"st","-й"
" and the "," ў "
"things...  certain things","речў... певнў речў"
"Stone/clay","Камўння/глина"
"Date: ","Дата: "
"""Leave me.  I need... ","""Залиште мене. Менў потрўбно... "
"considers spending time alone much more important than associating with others","вважаї проведення часу на самотў набагато важливўшим, нўж спўлкування з ўншими"
" masterfully dyed with "," майстерно пофарбовано "
"regretful","сповнений жалю"
"the color ","колўр "
"A snow storm has come.","Налетўла снўгова буря."
"Classic varied ground tiles","Класичнў рўзноманўтнў клўтинки пўдлоги"
"striking a triumphant pose","трўумфальна поза"
"Grab Weapon","Взяти зброю"
"gelder","каструвальник"
