"major","l¾n lao"
"natural minor","gi÷ng thÑ mµc mÕc"
"harmonic minor","gi÷ng thÑ hòa âm"
"melodic minor","gi÷ng thÑ giai ði®u"
"myxolydian","gi÷ng Trß·ng phóng khoáng"
"glass","thüy tinh"
"ice","bång"
"mud","bùn"
"stone","ðá"
"general","chung"
"water","nß¾c"
"far","xa"
"low","th¤p"
"outside","bên ngoài"
"cavern","hang ðµng"
"desert","sa mÕc"
"forest","r×ng"
"taiga","r×ng lá kim"
"glacier","sông bång"
"savanna","ð°ng cö nhi®t d¾i"
"lake","h°"
"mountains","núi"
"ocean","ðÕi dß½ng"
"sky","b¥u tr¶i"
"tavern","quán rßþu"
"tomb","ngôi mµ"
"tundra","lãnh nguyên"
"underworld","ð¸a ngøc"
"marsh","ð¥m l¥y cö"
"swamp","ð¥m l¥y cây thân g²"
"drums","tr¯ng"
"attack","t¤n công"
"drink","u¯ng"
"eat","ån<br>"
"trade","trao ð±i"
"gem","ðá quý"
"metal","kim loÕi"
"announcement","thông báo"
"companion","Chiªn hæu cüa ta."
"speak","nói"
"confirm","xác nh§n"
"its","cüa nó"
"it","nó"
"itself","chính nó"
"Activity","HoÕt ðµng"
"Training Session","Phiên Hu¤n Luy®n"
"Activity Event","Sñ ki®n"
"Research","Nghiên cÑu"
"Play","ChÕy"
"Worship","Tôn th¶"
"Socialize","Giao lßu"
" empty "," thiªu "
" empties "," thiªu "
" pick up "," nh£t lên "
" picks up "," nh£t lên "
" embraces "," ôm "
" has shared many tales from beyond "," ðã chia së nhi«u câu chuy®n t× th½i xa xßa "
" has shared a few rumors."," ðã chia së mµt vài tin ðôn."
" has shared a rumor from abroad."," ðã chia së tin ðôn t× nhßng n½i khac."
" gives you "," ðßa cho bÕn "
" has discovered "," ðã phát hi®n ra "
" has become a student of "," ðã tr· thành h÷c tro cüa "
"Ponder ","Suy ngâm "
"Learn ","H÷c "
"Teach ","DÕy "
"Discuss ","Thäo lu§n "
"Read","Ð÷c"
"Write","Viªt"
"Write about ","Viªt v« "
"Copy","Sao chép"
"Meditate on ","Thi«n ð¸nh v« "
"Pray to ","C¥u nguy®n cho "
"Go to Combat Training","T§p trung Hu¤n luy®n Chiªn ð¤u"
"Organize Combat Training","T± chÑc Hu¤n luy®n Chiªn ð¤u"
"Lead Combat Training","Chï huy Hu¤n luy®n Chiªn ð¤u"
