"more presumptious","更加自以为是"
"Throw ","扔 "
"Unknown creature in ","未知的生物 "
"has an extremely thin frame with a lot of fat on it","一副小骨架但长了很多肉"
"stuck on research topic","坚持研究课题"
"Seek Patient for Diagnosis","寻求患者诊断"
"full ","充分 "
"Quick to despair","悲观"
"Archery","弓兵"
"Early evening","傍晚"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","战争有时是必要的,但是当我们拥有战争时,也必须重视和平. "
"Woodworking","木工"
"Default attack is a charging strike.","默认攻击是冲锋打击. "
"steward","干事"
"Vermin escaped from cage","害虫从笼子里逃脱"
"no longer imprisoned","不再被监禁"
"Infiltration Plot","渗透图"
"devouring ","吞噬 "
"medicine:method:cauterization","医学:方法:烧灼法"
"Brook","小河"
"banish","驱逐"
"State minor feeling of confusion","状态轻微的意识模糊感"
"Continue action","Continue action (继续) 操作"
"Open tree-felling mode","打开砍树模式"
"This must be the will of ","这一定是意志之于 "
"Ice Track (SEW)","冰轨道(东南偏西)"
"I will accept the child into my home.","我会接纳孩子进入我的家. "
"the treatment of plants","植物的处理"
" Bin"," 箱子"
"the completion of ","完成 "
"Go to Writing Place","去写作地方"
"Need soil at location","需要此地有土壤"
"Bookcases: ","书柜: "
"has a narrow","狭小的"
"artfully indulges the author's fancies","巧妙地放纵作者的幻想"
" divine aspect of "," 神圣的方面 "
"This parameter set will be reset.","此参数集将被重置. "
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","开始划定一个新的区域.  一旦选择了区块,你就可以设置细节. "
"After a long journey, you are here to meet your most trusted companion.","经过漫长的旅程,您在这里与您最信任的伴侣见面. "
"after being away from family","离开家人之后"
"interacting with a pet","与宠物互动"
" starts to mutter under "," 开始嘀咕着 "
"Tools","工具"
"Chase Opponent Flood","追逐对手洪水"
"Extract from raw fish","提取生鱼汁液"
"  [C:2:0:1]You have been ordered to kill this creature."," [C:2:0:1]你奉命杀死这个生物. "
"presents a different view of the subject of","提出了一个不同的观点"
"a strengthening ","加强 "
"This","这个"
"'s acceptance of ","的接受 "
"the surrounding area","周边地区"
"is grounded in reality","立足于现实"
"This is love.","这就是爱. "
"the collision of ","碰撞 "
" near magma"," 岩浆附近"
"really slow to heal","愈合地是真慢"
"sticks","戳"
"exchange","交换"
"Up/Down Stair","向上/向下楼梯"
"Huge Profile","巨大的形象"
"Excellent","优秀"
"novel","小说"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","选择一个储物堆,轨道站的车辆将与该仓库交换物品.  车辆将取走所需物品,并卸下任何其他物品. "
"Forbid trap cleaning during sieges","禁止在围困期间清理陷阱"
"It makes me very anxious.","这让我非常焦虑. "
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","是的,我们会进行交易! 只需告诉我您对什么感兴趣以及您准备提供什么作为交换. "
"believes that the time taken to master a skill is a horrible waste","认为花时间掌握一项技能是一种可怕的浪费"
"grow funding network","发展资金网络"
", but it passes right through!",",但它正好穿过!"
"doesn't respect a society that has settled into harmony without debate and strife","不喜欢没有争辩的和谐社会"
"al voices bring melody, counterpoint and rhythm","歌声带着旋律, 对位和节奏"
"is tiny and weak","微小虚弱"
"the divergence of the harmonic series","调和数列的发散"
"Charge Attack","充电攻击"
"It is an example of ","这是一例 "
"Crushed under a collapsing ceiling","在倒塌的天花板下被压碎"
"Cannot chop tree","无法砍树"
"Certainly considered a bully","被肯定地看做是一名恶霸"
"Guilty","有罪"
"the construction and use of the water-powered trip hammer","水力杵锤的构造和使用"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","在这个充满危险的世界里,准备好引导你勇敢的冲锋走向财富吧.  "
"groups","组"
"strings vibrate","弦乐振动"
"I was yelled at by an unhappy citizen.","我被一个不快乐的公民大吼大叫. "
"high-voiced","高声"
"Others were too wary to make the journey.","其他人太谨慎了,不敢出行. "
"Acknowledge lack of joy","承认缺乏快乐"
"zaniness","狂热"
