", but it passes right through!",",但它剛好穿過!"
"You begin","請開始"
"Embark","開始"
"You conclude your performance.","你結束了你的表演. "
"Inveigh Against ","猛烈抨擊 "
"Research","研究"
"storyteller","說書人"
"Sacrifice","犧牲"
"Legendary murderer","傳奇的謀殺者"
"Watch Sparring Practice","觀看拳擊訓練"
"Commerce","商業"
" the perfect phrasing."," 完美的措辭. "
"a storyteller, or at least tells stories","一個說書人,或至少懂得說故事"
"Learn ","學習 "
"Read","閱讀"
" with "," 和 "
"begin","開始"
" has shared a few rumors."," 分享了一些傳言"
"Write","書寫"
"Independence","獨立"
"Go to Individual Combat Drill","去進行個人戰鬥訓練"
", but it glances away!",",但它打偏了!"
"Legendary hero","傳奇的英雄"
"Serve Customer","為客戶服務"
"You've learned ","你學會了 "
"Peace","和平"
" embraces "," 擁抱 "
"Hard Work","努力工作"
"Tranquility","寧靜"
"Create new world","創造新世界"
"Spar","拳練"
"Wait for Combat Training","等待戰鬥訓練"
"Pray to ","祈求 "
"flying ","飛行 "
" has discovered "," 發現了 "
" playing with "," 和  玩 "
"Loading...","讀取中..."
"Chant","呼號"
"The poetry enters","參與了詩歌"
"Training Session","訓練項目"
"You continue the story.","請您繼續這個故事. "
"Sing","唱歌"
"a talented storyteller","一個有天分的說書人"
" tell"," 告訴"
" in the "," 在裡面 "
"first ","第一 "
"Serve ","服務 "
" from the side"," 從側面"
" in the middle of "," 在中間 "
"Self-Control","自控"
"dancing ","跳舞 "
", but it is deflected by ",",但他被偏轉了,由 "
"Play","遊玩"
"Cooperation","合作"
"/Resting","/休息"
" has shared many tales from beyond "," 分享了一些外地的故事 "
" pick up "," 拿起 "
"the musical composition ","音樂作品 "
"You cannot perform here.","你不可以在此地表演. "
"Friendship","友誼"
"Teach ","教導 "
" has shared a rumor from abroad."," 分享了一個來自國外的傳言"
"Meditate on ","沉思 "
"Fairness","公平"
" choose"," 選擇"
"a legendary storyteller","一位傳奇的說書人"
"You could not find a partner.","你未能找到合作夥伴. "
"Cunning","狡猾"
" empty "," 空了 "
"Organize Combat Training","組織戰鬥訓練"
" Demonstration"," 示範"
"Nature","自然"
"Eloquence","口才"
"It was raining on me.","雨落在我身上. "
"Adventurer","冒險者"
"Legendary loyal soldier","傳奇的忠誠士兵"
"Loyalty","忠誠"
"Copy","複製"
"Listen to Sermon","聆聽訓誡"
", lightly tapping the target!",",輕輕拍打目標!"
"Lead ","領導 "
"Write about ","描寫 "
"The dance continues.","舞蹈繼續著. "
"The performers","表演者"
"is","是"
"Legendary monster","傳奇的怪物"
"This storyteller","這個說書人"
"a skilled storyteller","一個有技巧的說書人"
"it","它"
"Organize ","組織 "
"a great storyteller","一個優秀的說書人"
", but the attack is deflected by ",",但攻擊被偏轉了,由 "
"The story continues.","故事仍在繼續"
"'s","的"
" speak"," 說"
"Romance","浪漫"
"Watch Dance","觀看舞蹈"
"The ","這 "
"Play Make Believe","玩假扮遊戲"
"the verse paragraph","這節經文"
"Listen to Story","傾聽故事"
"The sermon continues.","佈道仍在繼續"
"improvised music, ","即興創作音樂, "
" gives you "," 給你 "
" crisply."," 脆"
"There is not enough room to perform here.","這裏沒有足夠的場地來表演. "
"Play ","彈奏 "
"Legendary fighter","傳奇的鬥士"
"Artwork","藝術"
"You continue the music.","你繼續這首音樂. "
" verse paragraph"," 經文段落"
"glass ","玻璃 "
"Archery Practice","箭術練習"
" line."," 線. "
"Watch ","看 "
"a legendary hero","一位傳奇的英雄"
"an improvised recital of ","即興表演 "
"Legendary thief","傳奇的小偷"
", but there is no force!",",但沒有力量!"
"Go to Combat Training","去戰鬥訓練"
"Play with ","玩 "
"Tell Story","講故事"
"begins","開始"
"You continue the sermon.","請繼續講講道"
"a legendary poet","一位傳奇的詩人"
"Promote ","推廣 "
"There are not enough dancers.","這裏沒有足夠的舞者. "
" poorly."," 糟糕. "
"Activity","活動"
"reciting the poem ","吟誦詩歌 "
"Truth","真相"
"I feel such emptiness.","我覺得很空虛. "
"Activity Event","活動事件"
"Competition","競賽"
"Recite Poetry","吟誦詩歌"
"Harmony","和諧"
"Wait for ","等候 "
"raising","提高"
"Discuss ","討論 "
"a toy","一個玩具"
"Legendary bully","傳奇的惡霸"
" has become a student of "," 已成為學生 "
"Perform Dance","表演舞蹈"
"theme","旋律"
"Family","家人"
"Craftsmanship","工藝"
"Go to Sparring Practice","參加拳擊訓練"
"Preach on ","傳道 "
"an improvised dance, ","即興舞蹈 "
"Go to Sparring Match","參加拳擊比賽"
", but the attack passes right through!",",但攻擊剛好穿過!"
"Legendary hunter","傳奇的獵人"
"The music continues.","音樂繼續著. "
" picks up "," 拿起 "
"Power","力量"
" bring"," 帶"
"Perform Music","演奏音樂"
"Go to ","去 "
"Tradition","傳統"
" playing make believe."," 徜徉于假想"
" from behind"," 從後面"
"Swimmer","游泳者"
"Knowledge","知識"
"Saving coin information...","保存硬幣資訊"
