"more presumptious","aanmatigender"
"Throw ","Gooi "
"Unknown creature in ","Onbekend wezen in "
"has an extremely thin frame with a lot of fat on it","heeft een extreem smal postuur met veel vet"
"stuck on research topic","vastgelopen op onderzoeksonderwerp"
"Seek Patient for Diagnosis","Pati‰nt zoeken voor diagnose"
"full ","vol "
"Quick to despair","Snel wanhopig"
"Archery","Boogschieten"
"Early evening","Vroege avond"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Oorlog is soms noodzakelijk, maar vrede moet ook gewaardeerd worden wanneer we die kunnen hebben."
"Woodworking","Houtbewerking"
"Default attack is a charging strike.","Standaardaanval is een stormende slag."
"steward","hofmeester"
"Vermin escaped from cage","Ongedierte ontsnapt uit kooi"
"no longer imprisoned","niet langer gevangengezet"
"Infiltration Plot","Infiltratiecomplot"
"devouring ","verslindend "
"medicine:method:cauterization","geneeskunde:methode:cauterisatie"
"Brook","Beek"
"banish","verbannen"
"State minor feeling of confusion","Lichte verwarring uiten"
"Continue action","Actie voortzetten"
"Open tree-felling mode","Boomkapmodus openen"
"This must be the will of ","Dit moet de wil zijn van "
"Ice Track (SEW)","IJsspoor (SEW)"
"I will accept the child into my home.","Ik zal het kind in mijn huis opnemen."
"the treatment of plants","de behandeling van planten"
" Bin"," Opslagbak"
"the completion of ","de voltooiing van "
"Go to Writing Place","Ga naar schrijfplek"
"Need soil at location","Grond nodig op locatie"
"Bookcases: ","Boekenkasten: "
"has a narrow","heeft een smalle"
"artfully indulges the author's fancies","geeft kunstig toe aan de grillen van de auteur"
" divine aspect of "," goddelijk aspect van "
"This parameter set will be reset.","Deze parameterset wordt gereset."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Begin met het intekenen van een nieuwe zone. Zodra de tegels zijn gekozen, kun je de details instellen."
"After a long journey, you are here to meet your most trusted companion.","Na een lange reis ben je hier om je meest vertrouwde metgezel te ontmoeten."
"after being away from family","na weg te zijn geweest van familie"
"interacting with a pet","omgaan met een huisdier"
" starts to mutter under "," begint binnensmonds te mompelen "
