"more presumptious","anmaáender"
"Unknown creature in ","Unbekannte Kreatur in "
"has an extremely thin frame with a lot of fat on it","hat eine extrem dnne Statur mit viel Fettanteil"
"stuck on research topic","Feststecken am Forschungsthema"
"Seek Patient for Diagnosis","Patient zur Diagnose aufgesucht"
"full ","voll "
"Quick to despair","Schnell verzweifelt"
"Archery","Bogenschieáen"
"Early evening","Frueher Abend"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Krieg ist manchmal n”tig, aber man sollte Frieden wertsch„tzen, so denn wir ihn haben k”nnen."
"Woodworking","Holzverarbeitung"
"Default attack is a charging strike.","Standardangriff ist ein Anraufschlag."
"steward","Ordner"
"Vermin escaped from cage","Ungeziefer aus dem K„fig entkommen"
"no longer imprisoned","nicht mehr inhaftiert"
"Infiltration Plot","Infiltrationsplan"
"devouring ","verschlingen "
"Brook","Bach"
"banish","verbannen"
"State minor feeling of confusion","Geringfgiges Gefhl der Verwirrung angeben"
"Continue action","Aktion fortsetzen"
"Open tree-felling mode","Modus ,,Baumf„llung"" ”ffnen"
"This must be the will of ","Dies ist der Wille des "
"Ice Track (SEW)","Eisweg (SEW)"
"I will accept the child into my home.","Ich werde das Kind in meinem Haus akzeptieren."
"the treatment of plants","den Umgang mit Pflanzen"
" Bin"," Kiste"
"the completion of ","die Fertigstellung von "
"Go to Writing Place","Gehe zum Schreibplatz"
"Bookcases: ","Bcherregale: "
"has a narrow","hat eine schmale"
"artfully indulges the author's fancies","die Phantasien des Autors kunstvoll ausleben"
" divine aspect of "," g”ttlicher Aspekt von "
"This parameter set will be reset.","Dieser Parametersatz wird zurckgesetzt."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Beginnen Sie mit dem Markieren eines neuen Bereichs. Sobald die Fl„che ausgew„hlt ist, k”nnen Sie die Details festlegen."
"After a long journey, you are here to meet your most trusted companion.","Nach einer langen Reise sind Sie hier, um Ihren treuesten Begleiter zu treffen."
"after being away from family","nachdem sie von ihrer Familie getrennt waren"
"interacting with a pet","Interaktion mit einem Haustier"
" starts to mutter under "," f„ngt an zu murmeln unter "
"Tools","Werkzeuge"
"Chase Opponent Flood","Verfolge Gegnerflut"
"Extract from raw fish","Extrakt aus rohem Fisch"
"a strengthening ","eine St„rkung "
"This","Dies"
"'s acceptance of ","s Akzeptanz von "
"the surrounding area","die n„here Umgebung"
"is grounded in reality","in der Realit„t verankert ist"
"This is love.","Das ist Liebe."
"the collision of ","die Kollision von "
" near magma"," nahe Magma"
"really slow to heal","sehr langsam zu heilen"
"exchange","tauschen"
"Up/Down Stair","Treppe nach oben/unten"
"Huge Profile","Groáes Profil"
"Excellent","Ausgezeichnet"
"novel","Roman"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","W„hlen Sie ein Vorratslager aus, mit der das Fahrzeug des Streckenstopps Gegenst„nde austauschen soll. Das Fahrzeug nimmt die gewnschten Gegenst„nde mit und l„dt alle anderen ab."
"Forbid trap cleaning during sieges","Verbot der Fallenreinigung bei Belagerungen"
"It makes me very anxious.","Das macht mich sehr nerv”s."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Ja und handeln werden wir! Sagt uns einfach was euch Interessiert und was ihr im Gegenzug bereit seit anzubieten."
"believes that the time taken to master a skill is a horrible waste","ist der Ansicht, dass die Zeit, die fr die Beherrschung einer F„higkeit ben”tigt wird, eine schreckliche Verschwendung ist"
"grow funding network","Finanzierungsnetzwerk aufbauen"
", but it passes right through!",", aber es geht direkt durch!"
"doesn't respect a society that has settled into harmony without debate and strife","eine Gesellschaft nicht respektiert, die sich in Harmonie ohne Debatten und Streitigkeiten eingerichtet hat"
"al voices bring melody, counterpoint and rhythm","alle Stimmen bringen Melodie, Kontrapunkt und Rhythmus"
"is tiny and weak","ist winzig und schwach"
"Charge Attack","Sturmangriff"
"It is an example of ","Es ist ein Beispiel fr "
"Cannot chop tree","Kann keinen Baum f„llen"
"Certainly considered a bully","Sicherlich als Tyrann betrachtet"
"Guilty","Schuldig"
