"its","それの"
"it","それ"
"Activity","活動"
"Training Session","講習会"
"Activity Event","活動イベント"
"Research","研究"
"Play","遊ぶ"
"Worship","礼拝"
"Socialize","交流"
" empty "," 空 "
" empties "," 空にする "
" pick up "," 拾得 "
" picks up "," 拾得 "
" embraces "," 抱き締める "
" has shared many tales from beyond "," 外から入ってきた噂がある "
" has shared a few rumors."," いくつかの噂がある"
" has shared a rumor from abroad."," 外国から入ってきた噂がある"
" gives you "," 貴方にあげる "
" has discovered "," 発見した "
" has become a student of "," の学徒になった "
"Ponder ","考えこむ "
"Learn ","学び "
"Teach ","教える "
"Discuss ","議論 "
"Read","読んだ"
"Write","書く"
"Write about ","について書く "
"Copy","複写"
"Meditate on ","瞑想する "
"Pray to ","に祈る "
"Go to Combat Training","戦闘訓練へ"
"Organize Combat Training","戦闘訓練を組織する"
"Lead Combat Training","戦闘訓練をする"
"Wait for Combat Training","戦闘訓練を待つ"
"Play Make Believe","芝居をする"
"Play with ","で遊ぶ "
"Toy","玩具"
"Inveigh Against ","激しく罵る "
"Promote ","促進 "
"Law","法"
"Loyalty","忠誠心"
"Family","家族"
"Friendship","友情"
"Power","力"
"Truth","真実"
"Cunning","狡猾"
"Eloquence","雄弁"
"Fairness","公平性"
"Decorum","礼節"
"Tradition","伝統"
"Artwork","芸術作品"
"Cooperation","協力"
"Independence","独立"
"Stoicism","忍苦"
"Introspection","内省"
"Self-Control","自制心"
"Tranquility","平静"
"Harmony","調和"
"Merriment","歓楽"
"Craftsmanship","職人技"
"Martial Prowess","武勇"
"Skill","技術"
"Hard Work","苦心"
"Sacrifice","犠牲"
"Competition","競争"
"Perseverance","忍耐力"
"Leisure Time","レジャータイム"
"Commerce","商売"
"Romance","ロマンス"
"Nature","自然"
"Peace","平和"
"Knowledge","知識"
"Preach on ","説教する "
"Listen to Sermon","説教を聞く"
"Tell Story","話を語る"
"Listen to Story","話を聞く"
"Listen to Poetry","詩を聞く"
"Play ","遊ぶ "
"Simulate ","シミュレートする "
"Sing","歌う"
"Chant","詠唱する"
"Recite Poetry","詩を詠む"
"Perform Music","音楽を演奏する"
"Listen to Music","音楽を聴く"
"Perform Dance","踊る"
"Watch Dance","踊りを見る"
"Go to ","へ行く "
" Demonstration"," デモンストレーション"
"Lead ","導く "
"Organize ","組織する "
"Watch ","見る "
"Wait for ","待つ "
"Serve Customer","お客に給仕する"
"Serve ","仕える "
"Go to Individual Combat Drill","個別戦闘訓練へ"
"Individual Combat Drill","個人戦闘訓練"
"/Resting","休息中"
"Go to Sparring Match","練習試合へ行く"
"Spar","戦闘訓練をする"
"Go to Sparring Practice","戦闘訓練に行く"
"Watch Sparring Practice","戦闘訓練を見る"
"Archery Practice","弓の訓練"
"You cannot perform here.","ここではできない"
"You could not find a partner.","パートナーを見つけることができなかった"
"There are not enough dancers.","必要な数のダンサーがいない"
"There is not enough room to perform here.","ここにはそれをできる部屋がない"
"You","あなたは"
"Some children","何人かの子供は"
"is","は"
"are","は"
"begins","始める"
"begin","始める"
" playing make believe."," おままごと"
" playing with "," と遊ぶ "
"a toy","おもちゃ"
"The performers","パフォーマーたちが"
"a sermon on ","についての説教 "
"the story of ","の物語 "
"reciting the poem ","詩の朗読 "
"an improvised recital of ","の即興演奏会 "
"the musical composition ","楽曲 "
"improvised music, ","即興演奏 "
"dancing ","踊り "
"an improvised dance, ","即興の踊り "
" in the middle of "," の中盤 "
"You continue the sermon.","あなたは説教を続ける"
"The sermon continues.","説教は続く"
"You continue the story.","あなたは話を続ける"
"The story continues.","物語は続く"
"You begin","あなたは始める"
"The poetry enters","その詩は入る"
"the ","その "
" line."," 行"
"the verse paragraph","その節"
" verse paragraph"," 節"
"the stanza","その連"
" stanza"," 連"
"You continue the poem.","あなたは詩を詠むのを続ける"
"The poem continues.","その詩は続く"
"You enter ","あなたは入る "
"The dance enters a new section with ","その踊りは新しいパートに入る: "
"The music enters ","その音楽は入る "
"a simple passage","単純な楽節"
"the introduction","イントロ部分"
"the exposition","提示部"
" of the theme"," のテーマ"
" of the first theme"," 第一のテーマの"
" of the second theme"," 第二のテーマの"
" of the previous passage"," のその前文"
"a recapitulation","再現部"
"the synthesis","総合体"
" of the two themes"," 2つのテーマの"
" of previous passages"," の前文"
"a verse","詩句"
"a chorus","コーラス"
"the finale","結論部"
"the coda","終結部"
"a bridge-passage","合間の節"
"first ","1番目の "
"second ","2番目の "
"theme","テーマ"
"a series of variations","転調部分"
" on the theme"," そのテーマにおける"
" on the first theme"," 第一の主題における"
" on the second theme"," 2番目のテーマにおける"
" and "," そして "
"You continue the dance.","あなたは踊り続ける"
"The dance continues.","その踊りは続く"
"You continue the music.","あなたは音楽を続ける"
"The music continues.","その音楽は続く"
"You conclude your performance.","あなたはパフォーマンスを終わらせる"
"The performers are finished.","そのパフォーマーたちは止めさせられた"
"Some performers finish their act.","何人かのパフォーマーは終わらせる"
" has finished performing."," パフォーマンスは終わった"
" concludes a performance."," パフォーマンスをやめさせる"
"You've learned ","あなたは学んだ "
"You feel like you know the basic rules of ","あなたはそれについての基礎的なルールについてはわかっているような気がする: "
" now."," 今"
"Your","あなたの"
"'s","の"
" lay"," 横たえる"
" forth an awe-inspiring sermon for the ages!"," 時代を超えて荘厳な説法を!"
" artfully deliver"," うまく届ける"
" a lucid and powerful sermon."," 明快で力強い説法だ. "
" giving a creditable sermon."," 立派な説法をする. "
" just can't give a sermon very well."," 上手に説法をできない. "
" dance"," ダンス"
" and the "," そして "
" are indistinguishable!"," は見分けがつかない!"
"instrument","楽器"
" delivering a virtuoso performance on the "," で名人芸を披露した "
" is absolutely flawless."," 絶対に完璧です"
"chant","詠唱する"
"song","歌"
" could nearly pass for the voice of the "," の声とほぼ同じでした.  "
