"more presumptious","bardziej arogancki"
"Unknown creature in ","Nieznana istota w "
"has an extremely thin frame with a lot of fat on it","ma ekstremalnie cienk• sylwetk© z duæ• iloòci• tàuszczu"
"stuck on research topic","Utkn•àem w temacie bada‰"
"Seek Patient for Diagnosis","Szukaj pacjenta do zdiagnozowania"
"full ","peàny "
"Quick to despair","Desperat"
"Archery","ùucznictwo"
"Early evening","Wczesny wiecz¢r"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Wojna jest czasem niezb©dna, ale pok¢j musi byÜ ceniony, kiedy moæna go osi•gn•Ü."
"Woodworking","Obr¢bka drewna"
"Default attack is a charging strike.","Domyòlnym atakiem jest szaræa."
"Vermin escaped from cage","Robactwo uciekào z klatki"
"no longer imprisoned","nie jest juæ uwi©ziony"
"Infiltration Plot","Spisek infiltracji"
"devouring ","pochàania "
"Brook","potok"
"State minor feeling of confusion","Niewielkie uczucie dezorientacji"
"Continue action","Kontynuuj"
"Open tree-felling mode","Otw¢rz tryb òcinania drzew"
"This must be the will of ","To musi byÜ wola "
"Ice Track (SEW)","Tor lodowy (SEW)"
"I will accept the child into my home.","Przyjm© to dziecko do mojego domu."
"the treatment of plants","traktowania roòlin"
" Bin"," Kosz"
"the completion of ","zako‰czenie "
"Go to Writing Place","Przejd´ do miejsca pisania"
"Need soil at location","Potrzeba gleby w lokacji"
"Bookcases: ","Biblioteczki: "
"has a narrow","ma w•ski"
"artfully indulges the author's fancies","artystycznie oddaje si© fantazjom autora"
" divine aspect of "," boski aspekt "
"This parameter set will be reset.","Ten zestaw parametr¢w zostanie zresetowany."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Zacznij rysowaÜ now• stref©. Kiedy pola zostan• wybrane, b©dziesz m¢gà ustawiÜ szczeg¢ày."
"after being away from family","po byciu z dala od rodziny"
"interacting with a pet","interakcja ze zwierz©ciem domowym"
" starts to mutter under "," zaczyna mruczeÜ pod nosem "
"Tools","Narz©dzia"
"Chase Opponent Flood","Poòcig za przeciwnikiem"
"Extract from raw fish","Ekstrakt z surowej ryby"
"presents a different view of the subject of","przedstawia inne spojrzenie na temat"
"a strengthening ","wzmocnienie "
"This","To"
"'s acceptance of "," akceptacja "
"the surrounding area","okolica"
"This is love.","To jest miàoòÜ."
"the collision of ","kolizja "
" near magma"," w pobliæu magmy"
"really slow to heal","bardzo powolne gojenie"
"sticks","patyki"
"exchange","wymiana"
"Up/Down Stair","Schody w g¢r©/d¢à"
"Excellent","ówietny"
"novel","powieòÜ"
