"more presumptious","более уверенный в себе"
"Throw ","Бросить "
"Unknown creature in ","Неизвестное существо в "
"has an extremely thin frame with a lot of fat on it","чрезвычайно худого сложения, но покрыт большим количеством жира"
"stuck on research topic","застрял на теме исследования"
"Seek Patient for Diagnosis","Искать пациента для диагностики"
"full ","полный "
"Quick to despair","Быстро впадает в отчаяние"
"Archery","Стрельба из лука"
"Early evening","Ранний вечер"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","Иногда без войны не обойтись, но нужно ценить мир, покуда он есть."
"Woodworking","Деревообработка"
"Default attack is a charging strike.","Атака по умолчанию - удар с натиском."
"steward","управляющий"
"Vermin escaped from cage","Вредитель сбежал из клетки"
"no longer imprisoned","освобождён из тюрьмы"
"Infiltration Plot","Заговор о внедрении"
"devouring ","пожирают "
"medicine:method:cauterization","медицина:методика:прижигание"
"Brook","Ручей"
"banish","изгнать"
"State minor feeling of confusion","Выразить лёгкое чувство замешательства"
"Continue action","Продолжить"
"Open tree-felling mode","Выберите режим вырубки"
"This must be the will of ","Должно быть, это воля "
"Ice Track (SEW)","Ледяные рельсы (SEW)"
"I will accept the child into my home.","Я приму этого ребёнка в моём доме."
"the treatment of plants","обращение с растениями"
" Bin"," ящик"
"the completion of ","завершение "
"Go to Writing Place","Идти к письменному столу"
"Need soil at location","Нужна почва"
"Bookcases: ","Книжные шкафы: "
"has a narrow","имеет узкий"
"artfully indulges the author's fancies","искусно воплощает фантазии автора"
" divine aspect of "," божественный аспект "
"This parameter set will be reset.","Этот набор параметров будет сброшен."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Начните рисовать новую зону. Как только клетки будут выбраны, вы сможете насторить зону."
"After a long journey, you are here to meet your most trusted companion.","После долгого путешествия вы здесь, чтобы встретить своего самого надежного спутника."
"after being away from family","из-за невозможности быть с семьёй"
"interacting with a pet","общение с домашним животным"
" starts to mutter under "," начинает бормотать под "
"Tools","Инструменты"
"Chase Opponent Flood","Преследовать поток врагов"
"Extract from raw fish","Выжать из сырой рыбы"
"In party: ","В группе: "
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Вам дан приказ убить это существо."
"presents a different view of the subject of","показывает другую точку зрения на предмет"
"a strengthening ","воодушевляющий "
"This","Это"
"'s acceptance of "," принятие "
"the surrounding area","окружающая местность"
"is grounded in reality","основывается на реальности"
"This is love.","Это любовь."
"the collision of ","столкновение "
" near magma"," рядом с магмой"
"really slow to heal","невероятно медленно выздоравливает"
"sticks","палочки"
"exchange","обменять"
"Up/Down Stair","Сквозная лестница"
"Huge Profile","Огромный профиль"
"Excellent","Великолепный"
"novel","роман"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Выберите склад, с которым остановленная вагонетка будет обмениваться вещами. Вагонетка заберет нужные предметы и разгрузит любые другие."
"Forbid trap cleaning during sieges","Запретить очистку ловушек во время осад"
"It makes me very anxious.","Это приносит мне столько тревоги."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Да, поторгуем!  Просто скажите, что вас интересует, и покажите, что у вас есть на обмен."
"believes that the time taken to master a skill is a horrible waste","считает оттачивание своих навыков пустой тратой времени"
"grow funding network","расширить сеть финансирования"
", but it passes right through!",", но проходит мимо!"
"doesn't respect a society that has settled into harmony without debate and strife","не признаёт общество, пришедшее в гармонию, без споров и ссор"
"al voices bring melody, counterpoint and rhythm","льные голоса несут мелодию, контрапункт и ритм"
"is tiny and weak","очень маленький и слабый"
"the divergence of the harmonic series","расхождение гармонического ряда"
"Charge Attack","Натиск"
"It is an example of ","Это пример "
"Crushed under a collapsing ceiling","Раздавлен упавшим потолком"
"Cannot chop tree","Невозможно срубить дерево"
"Certainly considered a bully","Определённо считается хулиганом"
"Guilty","Виновный"
"the construction and use of the water-powered trip hammer","изготовлением и использованием водяного кузнечного молота"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Будьте готовы привести ваших отважных подданных к процветанию в этом опасном мире. "
"groups","группы"
"strings vibrate","струны вибрируют"
"I was yelled at by an unhappy citizen.","На меня наорал недовольный гражданин."
"high-voiced","высокий голос"
"Others were too wary to make the journey.","Другие были слишком опасались отправиться в путь."
"Acknowledge lack of joy","Признать недостаток радости"
"zaniness","зазнайство"
" was claimed"," был занят"
"is never moved by the emotions of others","не реагирует на чужие эмоции "
"be moderately loud","умеренно громко"
"Order listener to ","Приказать "
"finds leisure time wasteful","считает свободное время бесполезным"
"Loading work quotas...","Загрузка ограничений работ..."
", rather than walking leisurely.""",", а не ходите бесцельно."""
"Cannot generate random creatures -- missing creature variation ","Невозможно генерировать случайных существ - отсутствуют вариации существ "
