"more presumptious","m†s presuntuoso"
"Throw ","Tirar "
"Unknown creature in ","Criatura desconocida en "
"has an extremely thin frame with a lot of fat on it","tiene un marco extremadamente delgado con mucha gordura"
"stuck on research topic","detenido en tema de investigaci¢n"
"Seek Patient for Diagnosis","Buscar paciente para el diagn¢stico"
"full ","lleno "
"Quick to despair","r†pido para desesperarse"
"Archery","Arquer°a"
"Early evening","Temprano por la tarde"
"War is sometimes necessary, but peace must be valued as well, when we can have it.","La guerra es aveces necesaria, pero la paz debe ser valorada tambiÇn, cuando nosotros podemos tenerla."
"Woodworking","Carpinter°a"
"Default attack is a charging strike.","El ataque predeterminado es un ataque de carga."
"steward","mayordomo"
"Vermin escaped from cage","Alima§a escap¢ de la jaula"
"no longer imprisoned","ya no est† encarcelado"
"Infiltration Plot","Trama de infiltraci¢n"
"devouring ","devorando "
"medicine:method:cauterization","medicina:mÇtodo:cauterizaci¢n"
"Brook","Riacho"
"banish","desterrar"
"State minor feeling of confusion","Expresar ligera sensaci¢n de confusi¢n"
"Continue action","Continuar acci¢n"
"Open tree-felling mode","Abrir el modo de tala de †rboles"
"This must be the will of ","Esta debe ser la voluntad de "
"Ice Track (SEW)","V°a Congelada (SEO)"
"I will accept the child into my home.","Voy a aceptar al ni§o en mi hogar."
"the treatment of plants","el tratamiento de las plantas"
" Bin"," Contenedor"
"the completion of ","la finalizaci¢n de "
"Go to Writing Place","Ir a Lugar de Escritura"
"Need soil at location","Necesita suelo en el lugar"
"Bookcases: ","Librer°as: "
"has a narrow","tiene un peque§o"
"artfully indulges the author's fancies","complace ingeniosamente las fantas°as del autor"
" divine aspect of "," aspectos divinos de "
"This parameter set will be reset.","Este par†metro ser† reseteado."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Comience a pintar una nueva zona. Una vez elegidos los mosaicos, podr† configurar los detalles."
"After a long journey, you are here to meet your most trusted companion.","DespuÇs de un largo viaje, est†s aqu° para encontrarte con tu compa§ero m†s confiable."
"after being away from family","despuÇs de estar lejos de la familia"
"interacting with a pet","interactuando con una mascota"
" starts to mutter under "," comienza a murmurar bajo "
"Tools","Herramientas"
"Chase Opponent Flood","Alcanzar Oponente Desbordarse"
"Extract from raw fish","Extracto de pescado crudo"
"In party: ","En el grupo: "
"  [C:2:0:1]You have been ordered to kill this creature."," [C:2:0:1]Se te ha ordenado que mates a esta criatura."
"presents a different view of the subject of","presenta una visi¢n diferente del tema de"
"a strengthening ","un fortalecimiento "
"This","êste"
"'s acceptance of ","la aceptaci¢n de "
"the surrounding area","los alrededores"
"is grounded in reality","esta anclado en la realidad"
"This is love.","Eso es amor."
"the collision of ","la colisi¢n de "
" near magma"," cerca del magma"
"really slow to heal","realmente lento para sanar"
"sticks","palos"
"exchange","intercambiar"
"Up/Down Stair","Escalera ascendente/descendente"
"Huge Profile","Perfil enorme"
"Excellent","Excelente"
"novel","novedoso"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Elija un almacÇn con la que el veh°culo de la parada de pista intercambiar† art°culos. El veh°culo tomar† los art°culos deseados y descargar† cualquier otro."
"Forbid trap cleaning during sieges","Prohibir la limpieza de trampas durante los asedios."
"It makes me very anxious.","Me pone muy ansioso."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","≠S°, comerciemos! Simplemente dime quÇ te interesa y quÇ est†s dispuesto a ofrecer a cambio."
"believes that the time taken to master a skill is a horrible waste","cree que el tiempo necesario para dominar una habilidad es un desperdicio horrible"
"grow funding network","expandir red de financiamiento"
", but it passes right through!",",≠Pero lo atraviesa!"
"doesn't respect a society that has settled into harmony without debate and strife","no respeta una sociedad que se ha asentado en armon°a sin debate y lucha"
"al voices bring melody, counterpoint and rhythm","las voces traen melod°a, contrapunto y ritmo"
"is tiny and weak","es diminuto y dÇbil"
"the divergence of the harmonic series","La divergencia de la serie arm¢nica."
"Charge Attack","Cargar Ataque"
"It is an example of ","Es un ejemplo de "
"Crushed under a collapsing ceiling","Aplastado por un techo desmoron†ndose"
"Cannot chop tree","No se puede cortar el †rbol"
"Certainly considered a bully","Ciertamente considerado un mat¢n"
"Guilty","Culpable"
"the construction and use of the water-powered trip hammer","la construcci¢n y uso del martinete hidr†ulico"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Prep†rate para guiar a tus corpulentos pupilos hacia la fortuna en un mundo con cientos de peligros. "
"groups","grupos"
"strings vibrate","cuerdas vibran"
"I was yelled at by an unhappy citizen.","Me grit¢ un ciudadano infeliz."
"high-voiced","voz aguda"
"Others were too wary to make the journey.","Otros eran demasiado cautelosos para hacer el viaje."
"Acknowledge lack of joy","Reconocer la ausencia de alegr°a"
"zaniness","locura"
" was claimed"," fue reclamado"
"is never moved by the emotions of others","nunca se conmueve por las emociones de los dem†s"
"be moderately loud","se moderadamente ruidosa"
"Order listener to ","Ordenar al oyente a "
"finds leisure time wasteful","encuentra el tiempo libre como un desperdicio"
"Loading work quotas...","Cargando cuotas de trabajo..."
", rather than walking leisurely.""",", en lugar de caminar tranquilamente""."
"Cannot generate random creatures -- missing creature variation ","No se pueden generar criaturas aleatorias -- falta variaci¢n de criatura "
"a murder","un asesinato"
"State minor feeling of vengefulness","Expresar menor sensaci¢n de venganza"
"Acknowledge lack of wonder","Reconocer la ausencia de maravilla"
"events","eventos"
"You begin","Tu empiezas"
"Many civilizations keep them as pets and work animals.","Muchas civilizaciones los mantienen como mascotas y animales de trabajo."
"thrilled","emocionado"
"ash","ceniza"
"a foiled corruption conspiracy","una conspiraci¢n de corrupci¢n frustrada"
"amber","†mbar"
"being unable to find somebody to complain to about job scarcity","Incapaz de encontrar a alguien para quejarse acerca de la escasez de trabajo"
"various civilized races peopled the world.","varias razas civilizadas poblaron el mundo."
"Children.","Ni§os."
"more wasteful","m†s malgastador"
"Investigate or interrogate (new menu)","Investigar o interrogar (nuevo men£)"
" from a period of no rule"," desde un per°odo en el cual no hab°a reglas"
" second"," segundo"
"wait","esperar"
"has a narrow, prominent","tiene un estrecho, prominente"
"to beseech","rogar"
"Collapsed","Desplomado"
"engineering:machine:piston","ingenier°a:m†quina:pist¢n"
"Enemy/merchant population trigger 3","Disparador de poblaci¢n de enemigos/comerciantes 3"
"Click a creature to start a new conversation","Haz clic en una criatura para iniciar una nueva conversaci¢n."
"Furniture/siege ammo","Mobiliario/munici¢n de asedio"
"to bathe the world in chaos","para ba§ar el mundo en el caos"
"Requests (Imports from ","Solicitudes (Importaciones de "
"surveying by triangulation for engineering projects","el levantamiento por triangulaci¢n para proyectos de ingenier°a"
